#{"t_start": 1768325914.8988044, "env_id": "None"}
r,l,t
-2124.09769,500,15.007866
-1946.538054,500,28.535479
-2126.053509,500,42.037739
-2045.171813,500,55.603862
-2122.930165,500,71.314036
-1386.62951,500,84.861832
-1829.996122,500,98.425766
-2017.275188,500,111.93714
-1764.089968,500,126.959598
-2328.225907,500,140.492064
-1894.853125,500,154.046283
-1521.549467,500,167.532863
-1683.944925,500,182.394355
-1839.75466,500,195.733569
-1872.678085,500,209.056381
-1663.422637,500,222.433427
-1918.014119,500,237.132105
-2368.987229,500,250.508434
-2384.577001,500,263.888579
-2402.869332,500,277.235273
-2299.723532,500,292.129811
-2075.442743,500,305.65308
-1788.697513,500,319.143127
-1986.919626,500,332.662495
-2034.26896,500,347.543929
-2066.608249,500,360.882196
-1556.7555,500,374.28066
-2211.071405,500,387.699365
-2442.134627,500,402.545064
-2127.672052,500,415.923762
-2702.095039,500,429.320157
-2205.913149,500,442.777199
-2472.124994,500,457.654042
-2558.792681,500,471.104934
-2532.991488,500,484.607218
-2189.527798,500,498.129264
-2563.654548,500,513.061898
-1767.890602,500,526.614028
-2400.423295,500,540.181761
-2077.44383,500,553.769428
-2283.582019,500,568.763988
-2197.410934,500,582.253718
-1473.400719,500,595.723945
-1995.75706,500,609.246179
-1858.011651,500,622.712185
-1786.331858,500,637.378852
-1679.629535,500,650.704164
-2377.648167,500,664.061875
-2207.0779,500,677.461664
-1856.498184,500,691.747098
-1607.638988,500,704.98895
-1857.90082,500,718.270524
-1801.064545,500,731.707851
-2039.425745,500,746.131038
-1717.510973,500,759.08547
-1833.55251,500,772.280141
-1523.672858,500,785.592257
-1858.70864,500,799.99151
-1583.014886,500,812.82862
-1831.547809,500,825.712356
-1277.774449,500,838.81194
-1701.828262,500,853.621686
-1325.083492,500,866.986731
-1412.746276,500,880.385042
-1523.786477,500,893.781702
-2242.827744,500,908.5025
-1719.118308,500,921.781032
-1489.82536,500,935.056807
-2097.080608,500,948.449589
-1885.747131,500,963.281901
-1189.444173,500,976.038045
-1652.723806,500,988.662998
-2198.526686,500,1001.300395
-1493.174369,500,1015.33513
-2214.437341,500,1027.984401
-1508.715076,500,1040.665011
-1557.964954,500,1053.345715
-1784.177741,500,1067.456092
-1644.356898,500,1080.168267
-1758.26243,500,1092.917443
-1325.487254,500,1105.642442
-1724.797355,500,1119.718516
-1444.827827,500,1132.383158
-1449.265509,500,1145.067996
-2379.921575,500,1157.704474
-1708.114978,500,1170.404861
-1958.837103,500,1184.477554
-2429.348765,500,1197.20048
-2408.52371,500,1209.965884
-1804.575216,500,1222.696007
-2194.26558,500,1236.8804
-1706.574202,500,1249.761175
-2227.855759,500,1262.880483
-1520.386017,500,1276.134355
-1529.468462,500,1290.966964
-2300.092942,500,1304.361985
-2295.988206,500,1317.592104
-2372.32086,500,1330.939382
-1680.960507,500,1345.755931
-1751.402638,500,1359.167534
-1602.160264,500,1371.859674
-1752.393978,500,1384.453151
-1846.880836,500,1398.513469
-1332.186862,500,1411.286817
-1392.945439,500,1423.987691
-1702.535507,500,1436.745824
-1452.486871,500,1450.904914
-2442.570522,500,1463.488321
-1983.98627,500,1476.743629
-1640.669724,500,1490.073819
-1728.398929,500,1504.799037
-1325.60263,500,1518.107334
-1423.130012,444,1530.154552
-1480.875944,500,1543.606648
-1439.89931,500,1558.547227
-1945.596268,500,1571.924403
-1749.427037,500,1585.274008
-1191.877725,500,1598.728227
-2395.483842,500,1613.465543
-1236.803489,500,1627.042097
-1118.539875,362,1636.870404
-1167.723804,500,1650.335649
-1616.915368,500,1663.865816
-1613.239726,500,1678.694452
-1303.10723,413,1689.720624
-503.806375,221,1695.67075
-1383.370744,500,1709.018459
-678.392607,331,1717.938705
-610.032996,291,1727.209161
-618.739235,218,1733.093502
-808.854455,263,1740.126858
-1531.36267,362,1749.730023
-1215.063282,322,1758.35909
-562.683009,225,1764.449274
-675.386949,219,1770.369605
-1091.941314,351,1779.744983
-764.168671,230,1787.346383
-486.336498,178,1792.147985
-1087.731567,327,1800.78034
-453.300953,220,1806.696342
-576.386329,185,1811.718538
-606.500569,206,1817.305452
-1036.91684,279,1824.811306
-590.366181,186,1829.887484
-601.762612,188,1835.046656
-504.453005,187,1841.561321
-643.163094,180,1846.454755
-577.531812,161,1850.821501
-1242.021268,283,1858.335015
-532.88008,164,1862.778133
-294.768461,145,1866.717449
-326.837969,158,1870.94683
-405.100435,131,1874.505982
-481.814481,153,1878.653219
-550.896069,169,1883.226912
-430.606649,149,1887.274391
-636.478976,184,1892.176003
-378.426468,135,1897.281262
-377.013182,157,1901.5403
-416.536988,169,1906.087777
-590.092473,205,1911.612816
-476.561316,167,1916.109807
-456.420802,143,1919.973779
-336.395267,181,1924.848716
-484.740211,182,1929.74397
-542.076606,161,1934.096108
-401.390119,171,1938.724157
-395.764232,161,1943.089243
-431.772027,158,1947.338611
-254.182312,143,1952.643546
-550.323518,220,1958.637491
-469.993259,182,1963.61762
-342.132874,151,1967.732381
-380.033743,133,1971.35356
-1117.848966,326,1980.121339
-694.622766,196,1985.509598
-355.814954,162,1989.895234
-428.704116,135,1993.595143
-244.301637,135,1997.266131
-455.70518,147,2001.286937
-694.999879,219,2007.277394
-292.309609,143,2012.623375
-235.713936,127,2016.065498
-393.154586,141,2019.894855
-705.517194,204,2025.410808
-556.272844,171,2030.084002
-374.224812,164,2034.54762
-270.8127,145,2038.485166
-611.647932,177,2043.310519
-492.749677,159,2047.637584
-422.340923,161,2052.032987
-471.375382,181,2056.908313
-1165.922801,258,2063.737894
-448.981182,177,2069.669926
-263.153338,143,2073.358577
