#{"t_start": 1768318975.2690802, "env_id": "None"}
r,l,t
-1890.21183,500,26.178662
-1719.602857,500,39.373668
-1334.37618,500,52.627204
-1391.568257,500,65.831016
-1537.58906,500,275.706175
-1621.78182,500,288.455398
-1134.994761,500,301.138586
-1240.815463,500,313.867972
-1616.119858,500,328.209621
-1578.483136,500,341.119794
-1510.78821,500,353.957079
-1379.555324,500,366.839188
-1342.445106,500,380.961461
-1623.324763,500,393.540709
-1320.623296,500,406.136431
-1735.343118,500,418.880129
-1445.852012,500,432.863031
-1576.693447,500,445.487622
-1404.1666,500,458.011065
-1208.789424,500,470.566914
-1342.090748,500,484.508773
-1267.119827,500,497.135273
-1399.398266,500,509.625675
-1425.845793,500,522.255776
-1588.794863,500,536.357504
-1270.658699,500,549.116538
-1097.085731,500,561.903286
-1267.435662,500,574.728723
-1326.260015,500,588.971119
-962.289143,500,601.82777
-1042.031296,500,614.744638
-1208.342556,500,627.783907
-1264.705158,500,642.030939
-1405.540322,500,654.653666
-1077.876714,500,667.318722
-1440.563218,500,680.109613
-1532.587445,500,694.143807
-1412.597824,500,706.807219
-1228.643746,500,719.453212
-1424.769066,500,732.24808
-1788.076355,500,746.473911
-1204.223122,500,759.260703
-1477.538136,500,772.003832
-1596.480116,500,784.865763
-1101.301496,500,797.595545
-1621.692515,500,811.77127
-1220.853946,500,824.436933
-1497.356139,500,837.07833
-1200.441916,500,850.294751
-976.317438,500,864.709423
-1408.352015,500,877.810476
-1221.088175,500,891.046766
-1247.813752,500,904.216752
-1279.911473,500,918.8412
-1243.462041,500,932.107925
-1260.982534,500,945.425001
-897.13472,477,958.134605
-1262.322427,472,971.918658
-1043.955966,500,985.107901
-1273.925591,500,998.266694
-623.85329,335,1007.20346
-1033.030842,457,1020.635842
-1315.031334,500,1034.027376
-1209.195858,500,1047.343886
-890.899807,366,1057.166773
-1253.72974,500,1070.537823
-525.132128,252,1078.766649
-573.02532,333,1087.735713
-1025.567356,492,1100.763748
-1266.104964,500,1113.967051
-1085.474111,479,1126.609538
-599.966506,343,1137.153352
-590.285964,279,1144.684764
-641.00058,343,1153.75147
-1118.160945,415,1164.591078
-832.872338,396,1175.038881
-561.643597,252,1181.793781
-1021.105142,405,1193.932718
-906.60039,394,1204.235257
-837.128321,427,1214.885957
-1219.557336,423,1225.546725
-736.438806,344,1234.279123
-1012.669961,368,1245.186299
-654.881174,322,1253.286059
-980.353146,391,1262.995235
-519.170087,253,1269.418131
-822.15162,329,1277.745806
-895.199275,357,1286.780331
-437.105241,236,1292.826663
-630.751431,290,1301.50578
-360.298782,172,1305.877681
-273.896319,141,1309.437201
-332.868918,183,1314.048254
-337.472093,157,1318.021641
-379.294934,180,1322.593651
-375.139099,180,1327.148502
-753.290717,286,1334.275061
-357.121802,192,1339.131216
-492.179487,231,1344.905438
-357.218445,177,1350.789789
-327.253942,154,1354.682241
-269.184312,165,1358.893584
-302.40887,177,1363.397879
-400.987746,241,1369.467679
-274.818675,146,1373.147412
-342.330358,164,1377.286761
-296.796303,136,1380.727059
-348.467091,172,1385.114295
-305.45899,175,1389.553283
-341.228377,149,1393.341791
-284.498961,153,1397.19866
-334.153794,158,1402.610484
-551.5423,248,1408.807728
-393.489815,196,1413.74868
-360.270908,196,1418.712533
-384.206755,214,1424.1407
-324.518777,144,1427.773939
-340.280445,186,1432.497778
-298.722891,178,1437.002578
-434.3493,185,1441.722345
-566.610415,271,1448.509412
-290.585465,177,1454.386834
