#{"t_start": 1768353043.105263, "env_id": "None"}
r,l,t
-2253.887695,500,14.271685
-1301.664795,500,26.994306
-1832.673379,500,39.875502
-2233.291089,500,52.635636
-1682.558525,500,67.429834
-1282.37489,500,80.146779
-2196.899701,500,93.019176
-1486.110155,500,105.790006
-1734.348765,500,119.849568
-1708.791905,500,132.887816
-1525.992906,500,146.131303
-1658.764198,500,159.447439
-2095.283801,500,173.579817
-1571.940007,453,184.814465
-1559.19028,500,197.285645
-2023.946379,500,209.691492
-1793.264502,500,223.634473
-2112.100311,500,236.243449
-1299.282724,500,248.90645
-1390.387092,470,260.760631
-1542.080905,500,274.749364
-1172.329896,402,284.998042
-796.385776,365,294.273697
-1375.524643,366,303.567931
-996.551936,355,312.548374
-1435.979008,500,326.476235
-873.287497,311,334.292855
-1971.789203,500,346.730382
-2372.725657,500,359.096051
-1083.117894,402,369.163393
-1628.169645,473,382.482404
-677.390737,267,389.31368
-1074.270635,361,398.405591
-1524.210821,435,409.317644
-648.76978,278,416.372938
-1652.015657,500,430.336228
-738.062601,282,437.526241
-584.438206,241,443.657188
-861.853522,250,450.009254
-561.480318,253,456.389903
-563.910636,234,462.329576
-755.019692,213,467.720175
-505.697248,323,475.883347
-730.135043,318,485.338517
-1475.596228,439,496.418416
-1393.519808,359,505.496065
-983.449968,316,513.508918
-963.046833,294,520.965759
-493.47791,236,526.979573
-1003.429281,307,536.212939
-613.744222,209,541.47978
-615.272444,223,547.064807
-362.982716,159,551.076777
-953.768811,283,558.126153
-847.487486,333,566.446115
-1098.89876,290,573.654376
-821.423216,321,581.649716
-882.046049,345,591.688613
-977.89396,289,598.962298
-708.431329,229,604.768486
-492.423791,151,608.612208
-586.190172,208,613.894133
-618.004683,204,619.084315
-422.824111,213,624.504191
-563.078235,203,629.660563
-538.402054,209,635.01215
-705.95556,251,642.789395
-818.187884,315,650.755134
-426.219888,221,656.404022
-615.701443,221,662.035989
-543.500026,228,667.855408
-494.732051,206,673.100616
-366.725827,174,677.53099
-457.974189,200,682.627961
-416.490834,183,687.304566
-404.407735,175,691.780942
-879.393085,270,699.983023
-361.593341,148,703.730068
-466.522216,213,709.158241
-540.974543,218,714.672452
-730.228513,222,720.249312
-722.102468,236,726.180619
-569.579823,250,732.487247
-652.773749,249,738.723331
-402.900719,163,742.864797
-363.516744,132,746.22797
-405.867704,151,751.421305
-566.208782,190,756.286888
-356.945954,169,760.608146
-417.146505,170,764.944749
-391.996941,168,769.235177
-305.116563,146,772.979002
-280.755811,133,776.401383
-493.204012,198,781.449994
-362.031777,133,784.863251
-314.395505,147,788.64473
-279.23276,149,792.452686
-759.152183,209,797.75276
-435.859317,142,802.791551
-423.141037,157,806.79646
-330.908535,170,811.131239
-397.442083,154,815.07411
-318.918143,141,818.685291
-467.134464,171,823.047888
-417.992262,140,826.631717
-782.826571,238,832.651369
-665.45511,227,838.39184
-290.157845,149,842.207613
-534.999951,164,846.406485
-465.435117,158,850.441514
-305.997869,142,854.083706
-334.262542,129,858.736926
-282.868247,135,862.136573
-289.202232,125,865.272891
-293.604498,145,868.927401
-326.862551,161,872.963907
-353.770041,159,876.957521
-285.324241,135,880.362912
-582.939121,199,885.320279
-322.719474,148,889.264504
-483.683031,156,893.40919
-547.300053,195,898.557107
-287.631917,161,902.828552
-449.922084,159,906.941863
-540.595614,221,913.860819
-780.751692,229,919.536836
-530.278733,154,923.398987
-692.752129,234,929.232621
-374.695562,156,933.133519
-344.486819,141,936.671492
-524.137304,171,940.937984
-438.634535,161,944.984915
-307.298267,132,948.318512
-328.230603,138,951.795549
-343.375184,119,954.784757
-651.87238,229,960.491386
-442.212687,162,966.006507
-366.316822,137,969.497317
-332.254731,121,972.578853
-380.751166,122,975.683215
-281.901781,128,978.927685
-416.840659,116,981.883233
-405.54082,148,985.663993
-377.796109,125,988.856137
-268.584409,114,991.760178
-320.018325,131,995.107223
-250.956689,119,998.138831
-306.463294,113,1001.02792
-350.636328,148,1004.790516
-366.988757,125,1008.00975
-290.514849,122,1011.126697
-291.976916,125,1014.313894
-280.610502,127,1018.995972
-373.986424,115,1021.945141
-356.349877,148,1025.717891
-441.873661,126,1028.939319
-390.880254,137,1032.443879
-416.358511,142,1036.064167
-298.593746,125,1039.264349
-394.04409,158,1043.264192
-324.671974,141,1046.865714
-397.583182,127,1050.118813
-361.076476,140,1053.678971
-437.409059,135,1057.105126
-405.1415,125,1060.302091
-439.807004,137,1063.809391
-325.015214,127,1067.042095
-245.24564,118,1071.434738
-517.797329,185,1076.120415
-343.98206,134,1079.537663
-519.284604,185,1084.213429
-336.054988,130,1087.522729
-312.380451,134,1090.941559
-333.159288,144,1094.6029
-376.729417,139,1098.154774
-539.608297,173,1102.501566
-222.873201,123,1105.637771
-275.623365,125,1108.834824
-289.443642,120,1111.895821
-331.704948,128,1115.171192
-327.0419,112,1118.03353
-309.815256,121,1121.130412
-327.46872,143,1126.205578
-279.720028,113,1129.104809
-281.056073,135,1132.549992
-238.457674,116,1135.521355
-371.857194,121,1138.634332
-367.20876,115,1141.594859
-272.05904,112,1144.47678
-353.3621,103,1147.129985
-421.070408,137,1150.631693
-421.020265,119,1153.677747
-479.371556,129,1156.987978
-344.671193,145,1160.67083
-388.96145,134,1164.083358
-449.965032,125,1167.284789
-319.599741,137,1170.802589
-285.588148,128,1174.076199
-419.923829,144,1179.163478
-316.986867,128,1182.426687
-298.259415,116,1185.399882
-311.451264,118,1188.40692
-371.117932,140,1191.963376
-356.695159,140,1195.51087
-240.302372,109,1198.278805
-341.727031,115,1201.204298
-238.194809,126,1204.423068
-326.118319,120,1207.492333
-529.678351,144,1211.130039
-397.957713,128,1214.377117
-318.640477,134,1217.774719
-585.690919,178,1222.25428
-440.0623,133,1225.639148
-516.587959,163,1231.206558
-244.605276,122,1234.475771
-270.77298,114,1237.527612
-311.517526,140,1241.274099
-423.309821,156,1245.351697
-226.903938,115,1248.267199
-331.216012,117,1251.230186
-231.699896,117,1254.197028
-426.629337,118,1257.18514
-242.952517,113,1260.056324
-252.16801,122,1263.13979
-269.259495,127,1266.392097
-349.551443,160,1270.472493
-210.842758,111,1273.306129
-272.881015,114,1276.226623
-235.183167,110,1279.031354
-395.929034,146,1282.746591
-373.525336,130,1287.319479
-291.501856,121,1290.416571
-284.937207,106,1293.126637
-244.092398,124,1296.283987
-425.55055,159,1300.30273
-392.041038,128,1303.58096
-244.594331,106,1306.361752
-253.948347,114,1309.445381
-375.056296,119,1312.648191
-338.931251,116,1315.793242
-351.16106,132,1319.366539
-309.906322,118,1322.544098
-390.323911,117,1325.716393
-326.120316,130,1329.202862
-295.165253,119,1332.410784
-324.638785,113,1335.467591
-228.111211,129,1340.353047
-212.120253,109,1343.253028
-338.389558,123,1346.549437
-330.012171,115,1349.643821
-288.652564,135,1353.236087
-307.513713,135,1356.845791
-284.26895,121,1360.072366
-329.056979,147,1363.973934
-272.468281,140,1367.7227
-251.62046,124,1371.029979
-249.480001,111,1374.001647
-327.527761,112,1377.003988
-307.195946,107,1379.876318
-213.960352,115,1382.942144
-271.769611,121,1386.179384
-504.881045,146,1390.092882
-388.393057,147,1393.974021
-260.095977,117,1398.536671
-306.330637,117,1401.692809
-274.391206,125,1405.062793
-308.48831,129,1408.519637
-235.243276,119,1411.702216
-258.284542,115,1414.797548
-328.185252,121,1418.057221
-381.373117,97,1420.674056
-387.322854,149,1424.661776
-248.666112,113,1427.70807
-267.784409,117,1430.86038
-368.364722,111,1433.858134
-241.138145,107,1436.738745
-315.616623,109,1439.677204
-364.25743,135,1443.327387
-390.069883,114,1446.41732
-304.358691,109,1449.349355
-331.961479,111,1453.76307
-276.904604,121,1457.016464
-272.395605,125,1460.389606
-397.390274,109,1463.308712
-275.646911,139,1467.011137
-406.523084,121,1470.224362
-319.916041,107,1473.099014
-274.902835,122,1476.353222
-252.238816,109,1479.248303
-467.959684,160,1483.257343
-330.211634,113,1486.11203
-440.298753,176,1490.522494
