#{"t_start": 1768346300.523586, "env_id": "None"}
r,l,t
-1546.185148,500,14.870302
-1486.13577,500,28.226219
-1254.798641,500,41.636652
-1375.041846,500,55.104755
-1492.817465,500,70.612558
-1281.544035,500,84.01024
-1275.028083,500,97.306421
-1503.432545,500,110.711189
-1069.881286,500,125.384239
-1179.061331,500,138.595286
-1258.223257,500,151.79773
-1160.624978,500,165.008169
-1007.130718,467,178.864479
-1336.620635,495,191.992505
-1348.732065,500,205.373521
-611.421913,375,215.475316
-1665.500069,500,230.270051
-1070.045603,421,241.492317
-894.683662,500,254.586738
-661.51072,346,263.33041
-1082.088196,500,275.945033
-829.864633,471,289.179881
-1044.983131,412,299.505252
-798.330296,391,309.287745
-752.806923,393,319.09206
-915.690716,401,329.100485
-872.566302,407,340.739446
-405.33958,216,346.243976
-513.784889,239,352.341746
-646.738531,315,360.388522
-448.814609,215,365.832423
-598.168073,326,374.10681
-702.191161,300,381.716833
-444.670821,275,390.021766
-544.442003,238,396.088919
-445.299549,225,401.828546
-677.581952,330,410.159694
-681.283093,302,417.780406
-403.956587,232,423.705741
-419.387054,224,429.399846
-407.551836,180,433.986103
-919.037714,396,445.359737
-488.680971,204,450.571428
-346.536913,197,455.587149
-261.727131,161,459.704931
-248.141565,156,463.69468
-404.669837,222,469.327247
-381.784746,181,473.932672
-424.18966,189,478.748104
-584.824251,271,485.553264
-281.43031,145,489.236967
-344.595014,189,495.4649
-232.577435,135,498.913445
-283.68402,147,502.660858
-260.984581,149,506.446478
-259.664902,141,510.0211
-373.263543,161,514.109477
-377.581094,175,518.551028
-324.434953,140,522.11631
-308.059262,145,525.812191
-283.791947,154,529.719458
-246.790355,147,533.449326
-319.981059,179,538.002559
-314.785934,161,542.101346
-196.818892,108,544.863217
-287.063531,160,550.337602
-371.756905,156,554.316863
-297.055945,132,557.697865
-243.741845,137,561.193074
-268.537672,154,565.101151
-237.089815,149,568.88487
-351.059011,153,572.785702
-106.615755,119,575.82626
-280.804748,149,579.633034
-441.75752,201,584.702518
-274.305765,127,587.939986
-293.272714,146,591.643406
-252.86068,149,595.445987
-271.099457,134,598.855455
-289.37746,141,603.851635
-249.05494,133,607.275349
-283.732629,129,610.618215
-469.632714,197,615.659844
-343.397834,137,619.194464
-246.392304,145,623.052762
-286.349063,154,627.148458
-344.19388,166,631.565315
-275.377855,175,636.230174
-403.702514,177,640.916106
-261.616122,133,644.48015
-444.402895,201,649.776057
-351.907126,199,656.529969
-284.194864,161,660.84804
-226.264579,129,664.301036
