#{"t_start": 1768339536.3845134, "env_id": "None"}
r,l,t
-2169.378775,500,14.97329
-2372.700831,500,28.472169
-1848.56527,500,42.020112
-1554.962016,500,55.366552
-2169.510253,500,70.713759
-1741.889136,500,84.052778
-1860.332311,500,97.442412
-2002.17247,500,110.770627
-1900.372493,500,125.530207
-2343.766428,500,138.844649
-1726.074923,500,152.083034
-1587.514742,500,165.536807
-1465.744992,500,180.289587
-1472.554681,500,193.523324
-1820.446801,500,206.721932
-1601.626699,500,219.915584
-2068.141238,500,234.531888
-1319.522105,378,244.575891
-1752.560675,500,257.765902
-1077.488432,465,270.136705
-2041.716895,500,284.784817
-850.801394,368,294.57211
-926.428963,310,302.841547
-1765.073328,500,316.080812
-1118.821821,305,324.215721
-1331.211314,461,336.450379
-663.201355,306,346.001777
-552.118868,287,353.630708
-1210.232142,355,363.019002
-709.799933,267,370.13889
-915.280635,302,378.138617
-1165.094207,452,390.126411
-1133.477071,301,399.525496
-1757.737188,431,410.806417
-1316.707841,415,421.825299
-1015.486921,369,431.638697
-2010.746777,494,444.582819
-1633.837635,412,456.907679
-1071.263386,333,465.744963
-1387.606816,420,476.912516
-744.47163,277,484.321194
-2042.858214,489,497.223661
-1684.361751,412,509.501827
-750.694039,306,517.571026
-511.92717,212,523.204838
-699.655211,216,528.971541
-412.62524,178,533.71829
-887.599709,245,540.229219
-568.709743,181,545.068094
-455.660198,211,550.669136
-794.660557,331,560.804458
-968.904022,299,568.652511
-449.672803,201,573.995918
-848.291059,264,580.952581
-1019.407163,338,589.8327
-875.160561,281,597.228685
-917.494803,275,604.422612
-880.650559,242,610.790243
-910.655459,246,618.686305
-569.095456,176,623.39194
-666.472745,208,628.962285
-512.067049,155,633.111625
-362.443026,162,637.425065
-384.707782,156,641.605609
-436.946466,184,646.508304
-578.154214,182,651.333082
-488.679869,171,655.903604
-460.260546,157,660.130876
-428.715346,195,665.341301
-792.670239,264,673.73021
-246.710228,128,677.161978
-495.941061,161,681.46842
-486.59938,152,685.528339
-606.223522,226,691.489763
-345.377104,162,695.819777
-473.447486,161,700.133197
-467.615339,181,704.974749
-911.450453,286,712.521052
-458.586209,181,717.333024
-497.281712,159,721.59673
-594.526659,195,728.268999
-465.606546,201,733.419354
-587.340031,196,738.366637
-464.241678,148,742.134396
-395.612238,149,745.915032
-477.704531,190,750.693556
-561.789152,229,756.412377
-531.552804,183,761.013937
-371.907037,148,764.752594
-413.993149,165,768.921279
-400.525678,171,773.229747
-564.38724,230,779.037282
-499.631096,207,785.45945
-368.208956,175,789.931738
-425.153429,167,794.144446
-380.916163,163,798.254917
-648.896358,209,803.451295
-421.476971,197,808.414327
-364.644223,168,812.646555
-769.206141,281,819.629904
-485.575116,193,824.481706
-892.289551,257,830.889779
-671.121317,231,838.101173
-704.663994,244,844.223013
-584.210349,166,848.437863
-622.998013,184,853.136141
-403.44034,171,857.500103
-535.620793,179,862.088335
-437.365317,177,866.608866
-665.714625,249,872.922949
-743.349695,214,878.356105
-542.938579,186,883.111104
-356.586524,154,888.477997
-757.575021,195,893.414244
-390.11683,146,897.200335
-629.477724,171,901.620606
-339.103542,165,905.883037
-579.288772,174,910.383761
-320.071221,127,913.678163
-484.679627,141,917.325843
-588.806513,174,921.784507
-712.494058,214,927.247243
-466.460685,178,931.845959
-786.731298,206,937.102943
-479.501535,144,942.236636
-382.338482,147,946.008419
-388.754238,157,950.031494
-409.245662,153,953.981617
-713.499739,181,958.787159
-461.032557,155,962.907551
-381.327579,151,966.921582
-475.602905,160,971.192472
-395.050946,169,975.670042
-286.900081,166,980.093202
-588.647589,185,985.024809
-665.57349,177,989.738588
-586.270963,168,994.200025
-346.374786,141,999.265247
-369.025469,135,1002.658212
-573.091312,171,1007.14482
-398.635302,131,1010.629783
-272.87199,149,1014.579374
-368.008291,133,1018.118968
-316.41762,134,1021.696888
-381.199759,130,1025.15684
-549.561711,166,1029.555115
-300.937069,121,1032.761603
-444.985973,151,1036.784171
-275.92612,137,1040.427252
-633.050341,180,1045.168393
-651.141236,220,1052.391978
-347.78749,129,1055.827862
-780.19221,202,1061.1261
-511.884552,169,1065.621971
-731.165414,222,1071.440678
