#{"t_start": 1768332712.6886976, "env_id": "None"}
r,l,t
-1783.436045,500,14.049193
-1768.273575,500,26.649997
-1636.552568,500,39.176195
-1362.907375,500,51.73564
-1673.718181,500,67.158386
-1645.38296,500,80.605766
-1289.950132,500,93.280135
-1547.61529,500,105.897107
-1530.079517,500,119.889772
-1185.077067,500,132.476137
-1131.555137,500,145.050679
-1233.810466,500,157.712022
-1315.626722,500,171.72636
-1460.687974,500,184.378063
-1378.413503,500,197.013594
-1447.208134,500,209.729199
-1377.543741,500,223.75759
-1507.287788,500,236.572012
-1562.204052,500,249.290134
-1710.3799,500,262.552758
-1514.881884,500,277.018287
-1542.538283,500,290.270663
-1505.419982,500,303.495142
-1458.667519,500,316.694622
-1467.391305,500,331.061141
-1563.805196,500,343.73106
-1433.748454,500,356.880264
-1327.525497,500,369.951938
-1385.101949,500,384.449405
-1312.837365,500,397.022458
-1233.135256,500,409.721388
-1394.705457,500,422.367018
-1149.243742,500,436.414807
-1658.236001,500,448.959367
-1301.830877,500,461.499269
-1472.24478,500,474.029866
-1457.78006,500,487.94305
-1025.380598,500,500.392763
-1152.276977,500,512.853387
-1451.081965,500,525.225725
-1323.07518,500,539.093047
-1316.986068,500,551.524949
-1561.017077,500,563.989334
-1210.153526,500,576.422445
-1027.618688,500,589.156284
-1362.178458,500,603.724978
-1090.05401,500,616.85526
-818.531508,435,628.33451
-1192.926718,441,639.90741
-534.412314,254,648.131356
-1062.507344,452,659.950576
-402.668778,227,665.983872
-1139.345954,500,679.189128
-695.685665,370,689.082268
-457.660638,278,696.566612
-481.200355,249,704.666846
-564.065147,231,710.871177
-605.367874,248,717.530771
-642.071052,331,726.348323
-368.918896,186,731.348636
-426.603429,174,736.034451
-510.034554,273,743.36398
-457.820031,245,749.948808
-412.369289,197,755.246871
-595.853206,276,764.012829
-485.108724,197,769.318272
-546.685882,229,775.441153
-422.252814,200,780.80917
-932.464435,335,789.744961
-513.308215,258,796.704489
-613.893604,289,804.370514
-601.857148,259,811.337998
-314.394898,190,817.898252
-487.77832,208,823.486381
-485.50036,214,829.188822
-381.287513,160,833.504132
-478.643216,235,839.734008
-381.887111,188,844.815163
-849.293217,290,852.490099
-525.719911,238,858.819158
-368.232553,208,864.40568
-341.735929,171,868.975932
-336.680818,221,876.308197
-661.079931,265,883.296659
-597.273052,229,889.391614
-466.337534,198,894.719344
-901.039645,327,903.38876
-362.5083,186,908.386482
-578.689761,227,914.407501
-651.370303,272,921.593551
-693.608832,296,930.827284
-884.077012,317,939.165911
-341.651398,170,943.693145
-387.346725,184,948.60286
-486.260887,239,954.943693
-757.266232,272,962.090817
-509.732266,218,967.913803
-503.259108,292,975.704936
-703.839326,267,984.202953
-412.691334,218,989.984583
-482.614107,197,995.256372
-399.506574,209,1000.858893
-356.75906,155,1004.995992
-373.835554,155,1009.146817
-357.578106,212,1014.789568
-313.736922,197,1020.073226
-382.208335,163,1024.444934
-500.928985,234,1030.6863
-441.380953,213,1036.382437
-527.223231,234,1044.034038
-478.89282,264,1050.988724
-593.97771,264,1057.919782
-443.932042,214,1063.590399
-479.706438,195,1068.777067
-386.808737,206,1074.283259
-540.354648,264,1081.247842
-420.935235,212,1086.921196
-922.799359,395,1098.764092
-620.665845,268,1105.821995
-535.223168,299,1113.692993
-408.073876,194,1118.870548
-441.444025,228,1124.888086
-1078.893413,381,1134.897595
-560.015278,262,1141.839056
-472.596344,240,1148.223719
-350.620256,157,1153.637362
-394.136139,177,1158.113734
-419.944231,177,1162.610502
-372.821453,224,1168.581145
-337.987841,159,1172.808577
-300.961334,150,1176.798946
