#{"t_start": 1768366596.4201388, "env_id": "None"}
r,l,t
-1794.705264,500,14.757713
-2289.12184,500,28.134938
-2426.048393,500,41.298196
-2382.317885,500,54.605552
-1996.588127,500,69.939069
-1733.249839,500,83.17918
-1669.321187,500,96.432174
-1779.979765,500,109.546466
-2191.363626,500,124.107803
-1931.417387,500,137.365748
-1665.513223,500,150.653231
-1937.719761,500,163.962353
-1841.437809,500,178.775945
-2319.431222,500,192.100875
-1491.762535,500,205.55676
-2030.641345,500,218.886835
-2285.385984,500,233.668832
-2065.886923,500,246.812886
-1626.71376,500,260.025188
-1338.63061,500,273.268526
-1430.11872,500,288.023419
-1962.38133,500,301.472968
-1876.69828,500,315.020738
-1863.402934,500,328.472918
-1820.856914,500,343.209048
-2160.070968,500,356.607547
-2602.43116,500,370.079368
-1663.244234,500,383.544507
-1888.993036,500,398.369564
-2422.245769,500,411.843801
-2588.725314,500,425.026861
-1761.696302,500,437.733667
-2273.369243,500,451.919751
-2379.519652,500,464.720541
-2582.661902,500,477.520176
-1729.486732,500,490.366636
-1751.719626,500,504.511478
-1737.8008,500,517.316427
-1935.196583,500,530.117279
-2399.02728,500,542.863264
-1882.644681,500,557.055287
-2302.107977,500,569.721891
-2083.38439,500,582.365428
-2127.807731,500,595.012694
-1906.061971,500,607.645789
-1899.538607,500,621.832544
-2008.310898,500,634.701071
-2423.486944,500,647.544422
-1826.903454,500,660.381906
-2250.797688,500,674.719313
-2882.761715,500,687.59303
-1822.087435,500,700.485563
-1922.979617,500,713.354415
-3118.362254,500,727.487705
-2073.215314,500,740.175007
-2704.269906,500,752.923871
-2300.266428,500,765.625782
-2620.287324,500,779.825806
-3330.437363,500,792.47312
-2851.765997,500,805.198442
-2240.725885,500,817.914099
-2545.690619,500,832.113165
-2829.586923,500,844.936562
-2429.87932,500,857.759398
-2353.947704,500,870.913622
-2272.267837,500,885.661172
-2385.589977,500,899.066889
-3060.660066,500,912.313248
-2886.546585,500,925.652849
-2694.793876,500,940.398674
-2263.550446,500,953.880893
-2662.914053,500,967.345618
-2943.265044,500,980.777505
-2643.660114,500,995.554474
-2257.725559,500,1008.940394
-2600.598669,500,1022.329164
-3193.577938,500,1035.749802
-2330.333328,500,1050.510232
-2696.183032,500,1063.752864
-1977.589887,500,1076.955187
-2498.51903,500,1090.224595
-2708.324058,500,1104.844639
-2951.913463,500,1118.033725
-2634.350321,500,1131.272254
-2221.063854,500,1144.507057
-3040.276249,500,1157.720686
-2392.494045,500,1172.370732
-2402.507211,500,1185.656348
-2961.180698,500,1198.867164
-2728.742356,500,1212.06814
-1863.4224,500,1226.673439
-2304.840142,500,1239.992562
-1888.99631,500,1253.391192
-1773.237408,500,1266.704025
-2035.802486,500,1281.535317
-2628.879897,500,1294.966213
-2485.806047,500,1308.318246
-1954.668162,500,1321.652451
-2362.415622,500,1336.516062
-1858.519578,500,1349.84685
-1948.351766,500,1363.22917
-1958.411143,500,1376.603878
-1869.700209,500,1391.437264
-2430.922881,500,1404.793427
-2001.052077,500,1418.274713
-2332.883304,500,1431.535224
-1714.921136,500,1446.417413
-1814.169706,500,1459.889212
-1640.999893,500,1473.323935
-1419.126327,500,1486.688999
-2160.278599,500,1501.52976
-1882.282938,500,1514.860098
-1747.342353,500,1528.202134
-1895.597595,500,1541.398001
-2362.366987,500,1555.979666
-2279.052336,500,1569.362406
-1735.278236,500,1582.556451
-2118.329349,500,1595.734901
-1859.662959,500,1610.410071
-2079.869661,500,1623.481376
-1981.198195,500,1636.580839
-2152.260788,500,1649.8318
-2018.444132,500,1664.276884
-1689.979822,500,1677.470084
-2109.693831,500,1690.564608
-2322.001204,500,1703.79363
-1678.578693,497,1718.172915
-1865.08428,500,1731.316493
-1926.983316,500,1744.488422
-960.67694,318,1752.935228
-2200.117111,500,1766.047966
-2102.281825,500,1780.541565
-3103.551758,495,1793.283461
-1932.158354,474,1805.659951
-1988.222638,442,1817.17679
-2258.121455,500,1831.566659
-1778.953387,495,1844.603201
-1117.125874,390,1854.949779
-1413.365365,431,1866.290167
-2134.316765,500,1879.422962
-1474.216205,459,1892.961959
-627.248408,258,1899.845815
-1506.821358,392,1910.221832
-647.287576,270,1917.449462
-1542.679099,451,1929.416157
-1045.657553,399,1941.395646
-919.872631,379,1951.339506
-1224.400461,316,1959.600764
-1530.180526,396,1969.957429
-1424.562208,376,1979.82234
-544.69618,199,1985.117037
-1591.177018,409,1997.265378
-417.347461,191,2002.398011
-641.236297,284,2010.046672
-567.179827,235,2016.410413
-616.045476,265,2023.537682
-721.230543,250,2030.27235
-755.341877,208,2035.903896
-439.484664,173,2040.589862
-596.312063,229,2046.714899
-711.311611,326,2056.876321
-527.640599,193,2062.070533
-797.120059,268,2069.28229
-1268.994379,374,2079.221837
-859.713897,270,2086.45205
-609.890269,235,2092.756942
-526.558906,265,2099.875341
-512.172153,207,2105.416541
-532.463998,217,2112.559467
-1297.72102,363,2122.094031
-1066.38352,296,2129.851504
-634.289204,202,2135.189247
-548.566061,162,2139.499244
-915.222853,260,2146.355793
-745.727318,247,2152.8429
-1003.767394,330,2162.916025
-605.593288,241,2169.276533
-918.917528,301,2177.192021
-492.283645,192,2182.292319
-503.006298,175,2186.960981
-659.982353,241,2193.270019
-622.789261,190,2198.304078
-481.509365,159,2202.491621
-349.346751,159,2206.711947
-455.397303,151,2210.722981
-338.437596,142,2214.479742
-411.089033,176,2220.5909
-326.080729,143,2224.426701
-297.097305,124,2227.753201
-329.913663,163,2232.09356
-345.486928,139,2235.799024
-605.359551,210,2241.361344
-510.948881,186,2246.320037
-295.656455,147,2250.249134
-527.82383,190,2255.288903
-298.932879,145,2259.158089
-283.986934,133,2262.714321
-585.067889,211,2268.313817
-698.539605,231,2275.846182
-778.441266,197,2281.009822
-282.560851,124,2284.307805
-376.209923,164,2288.660149
-323.031841,135,2292.26829
-437.345094,142,2296.025661
-592.855644,177,2300.694015
-364.132209,158,2304.887873
-346.781825,138,2308.543265
-719.679764,196,2313.695019
-520.200149,170,2318.208823
-333.401479,136,2321.823101
-395.77078,144,2325.645054
-306.97382,136,2330.682979
-404.380121,161,2334.925707
-325.637462,151,2338.925772
-396.758563,131,2342.414078
-469.295457,177,2347.085151
-352.334025,141,2350.819463
-620.604426,203,2356.139749
-346.528548,168,2360.586845
-621.706488,232,2366.673671
-553.673495,188,2371.623349
-385.788633,156,2375.758095
-636.815168,231,2381.824822
-342.292141,128,2386.595924
-569.836411,208,2391.928605
-646.039959,208,2397.173225
-797.205744,209,2402.432671
-327.758565,138,2405.95296
-679.435277,204,2411.105263
-344.289461,134,2414.528839
-362.660595,150,2418.362881
-656.236689,214,2423.767704
