#{"t_start": 1768359795.215907, "env_id": "None"}
r,l,t
-1513.507206,500,14.989727
-1690.670142,500,28.279095
-1854.243499,500,41.028897
-1653.27046,500,53.754108
-1357.533463,500,68.487905
-1187.229432,500,81.094068
-1417.881919,500,93.696428
-1484.65363,500,106.379578
-1477.655091,500,120.388937
-1635.508391,500,133.100787
-1098.429627,500,145.74545
-1088.812231,500,158.396042
-1674.95269,500,172.415396
-1343.028606,500,185.094764
-1433.130057,500,198.326299
-1467.502197,500,211.505089
-1385.533842,500,226.019457
-1240.788543,500,239.13817
-1277.075335,500,252.23557
-1543.433258,500,265.395153
-1364.918149,500,279.992081
-1135.314438,500,293.167582
-1457.968619,500,306.363151
-1465.318936,500,319.598662
-923.135008,500,334.285439
-1115.725689,500,347.574093
-1271.685787,500,360.815504
-1519.23508,500,374.023091
-1207.080845,500,388.687854
-1150.920564,500,401.924233
-1154.504931,460,414.051609
-949.492755,414,424.98241
-952.010771,476,437.629621
-958.090941,448,450.892231
-1025.512214,439,462.535111
-1085.462885,471,475.016018
-610.607811,342,484.162028
-1106.19852,458,497.702396
-718.598437,346,506.937467
-753.977748,360,516.453254
-421.555677,220,522.343659
-562.577105,298,530.347998
-644.239003,316,538.731133
-884.815395,422,549.870837
-405.859166,231,557.456006
-735.780524,358,566.927162
-659.345907,301,574.89308
-501.587779,277,582.317065
-887.044697,380,592.40833
-550.510108,294,600.223949
-386.737858,206,605.749058
-751.778596,296,614.972127
-613.064265,288,622.578513
-452.502544,224,628.500679
-502.225668,251,635.135773
-836.444852,265,642.097087
-549.007453,278,649.433587
-527.74162,267,656.548415
-504.899864,223,663.888486
-445.422999,184,668.844972
-291.848397,155,673.010096
-747.635994,334,681.811016
-757.96646,302,689.803741
-667.658651,306,697.856717
-358.074958,205,703.322661
-384.618113,194,708.546339
-369.800788,189,713.621755
-452.975175,197,720.317564
-351.782324,176,725.008453
-294.911795,176,729.690923
-363.442743,193,734.82841
-521.772743,258,741.597144
-415.0342,185,746.485533
-329.860509,166,750.889073
-324.703995,158,755.098117
-373.38461,194,760.247645
-421.270095,205,765.689243
-443.670141,239,771.984408
-384.217713,177,778.147341
-301.79708,160,782.434493
-455.916787,234,788.64765
-306.533489,151,792.709313
-288.624788,136,796.367741
-317.242862,176,801.078148
-352.539837,201,806.416138
-253.571791,159,810.675212
