#{"t_start": 1767814088.150325, "env_id": "None"}
r,l,t
-1741.776004,500,24.75368
-1893.92557,500,49.924779
-2141.565476,500,75.095889
-1775.955339,500,100.25029
-1533.813259,500,125.421396
-1818.184181,500,150.592778
-2207.313391,500,175.746913
-2335.999233,500,200.918558
-2769.636528,500,226.089072
-2648.194246,500,251.260195
-3080.319333,500,276.414814
-3198.987144,500,301.585708
-3804.660291,500,326.756773
-4146.830079,500,351.92813
-4119.02316,500,377.098993
-4593.471127,500,402.27029
-3582.576606,500,427.441164
-1797.617125,434,449.309905
-1177.122921,237,461.319575
-875.751524,191,471.027894
-897.193883,175,479.935326
-520.328796,150,487.591587
-527.425991,138,494.647681
-531.656355,137,501.653469
-556.716477,137,508.659343
-483.12208,136,515.615107
-506.070587,132,522.371176
-494.482332,128,528.926726
-481.067548,130,535.56529
-447.613968,128,542.120875
-492.657054,127,548.626095
-575.162102,128,555.181561
-449.646464,129,561.787667
-517.717698,130,568.442603
-617.54427,125,574.848046
-501.243981,126,581.286788
-455.387454,125,587.692065
-374.86211,126,594.14788
-413.33365,132,600.886552
-595.361158,133,607.692242
-442.188015,127,614.197677
-514.069951,127,620.703391
-476.960993,127,627.208623
-532.103339,125,633.614005
-590.972869,126,640.069376
-565.528476,124,646.425016
-520.522224,125,652.830298
-611.213616,128,659.385564
-599.783704,126,665.841077
-606.133806,126,672.296382
-525.47702,124,678.651736
-579.001156,122,684.906957
-557.87404,124,691.262276
-502.839581,124,697.617683
-573.560448,125,704.022906
-558.811997,127,710.528746
-590.299664,124,716.883675
-437.822839,123,723.189295
-512.163251,123,729.494305
-487.520743,125,735.899974
-524.498031,125,742.30636
-542.264728,124,748.660452
-500.513879,125,755.06579
-505.284077,125,761.471125
-626.382376,126,767.909847
-501.057026,128,774.46535
-554.77844,128,781.004168
-675.262633,127,787.509611
-625.112376,131,794.215259
-508.972551,130,800.871364
-621.455883,132,807.626469
-740.95335,134,814.482246
-651.645559,136,821.438015
-678.542323,138,828.493954
-700.692224,140,835.649981
-635.421068,137,842.655824
-583.155273,137,849.661768
-2089.29677,362,867.92703
-2895.081322,399,888.043866
-4040.929312,444,910.412621
-2102.418284,326,926.876405
-3554.251107,500,952.047918
-3449.657985,464,975.417149
-3763.055134,500,1000.58814
-3553.804774,500,1025.759577
-3920.861333,500,1050.914117
-3583.225003,500,1076.068185
-3714.957105,500,1101.239449
-3373.340671,500,1126.410202
-3360.159273,500,1151.564694
-3079.5643,500,1176.735801
-3078.062403,500,1201.906907
-3416.603329,500,1227.077978
-2483.032401,395,1246.994732
-1820.91481,311,1262.708086
-3024.469776,500,1287.879078
-1750.686471,313,1303.69229
-3435.000565,500,1328.84723
-3066.995885,500,1354.017893
-2221.372194,406,1374.485007
-1847.891387,358,1392.550138
-2353.62909,452,1415.319237
-1470.729123,500,1440.490735
-1413.417582,500,1465.66151
-2245.805344,500,1490.832601
-1389.930907,500,1516.00373
-1944.190204,500,1541.174938
-1312.95135,500,1566.346324
-1538.477893,500,1591.517065
-1406.351241,500,1616.688169
-2442.255785,500,1641.859304
-2266.403034,500,1667.030455
-1674.511106,500,1692.201817
-1266.02471,500,1717.372631
-1518.295214,500,1742.527093
-1197.633011,500,1767.698172
-1240.245663,500,1792.869316
-812.389737,363,1811.184995
-1255.957494,500,1836.356378
-1163.970813,500,1861.510198
-1284.705655,500,1886.681291
-1291.884298,500,1911.852587
-1322.818151,500,1937.023488
-1329.672015,500,1962.178
-1356.625933,500,1987.349076
-1299.210209,500,2012.520161
-1259.676807,476,2036.490265
-1465.457207,500,2061.661381
-1518.42254,500,2086.832476
-336.889278,149,2094.439054
-436.232977,188,2103.997006
-580.821007,237,2116.007104
-335.947577,154,2123.863659
-1013.449936,500,2149.034678
-357.839157,174,2157.892163
-936.027137,500,2183.046478
-263.479267,127,2189.551977
-313.462955,152,2197.308532
-309.65663,154,2205.165077
-227.82134,119,2211.270142
-212.053373,111,2216.974907
-257.450311,126,2223.430362
-282.208765,132,2230.186096
-387.244208,183,2239.494175
-376.543605,196,2249.452156
-290.06985,143,2256.758267
-273.290826,142,2264.01437
-226.61853,99,2269.118665
-784.661681,416,2290.086593
-234.097145,117,2296.091266
-240.481926,118,2302.146372
-217.996638,104,2307.501181
-1513.636411,500,2332.671934
-235.627577,108,2338.226656
-223.596043,106,2343.681171
-1494.541763,500,2368.852751
-1014.186465,500,2394.023416
-1286.691214,500,2419.194565
-1139.211677,500,2444.36564
-163.340487,97,2449.369785
-1122.532135,477,2473.389967
-956.869113,500,2498.561033
-955.380242,500,2523.732126
-993.308955,500,2548.969983
-977.634898,500,2574.141052
-296.597404,162,2582.397993
-450.830093,240,2594.558179
-1409.82002,500,2619.729259
-180.748489,102,2624.983759
-1419.984682,500,2650.154775
-183.417839,102,2655.409211
-176.678375,103,2660.71367
-176.794068,100,2665.868007
-208.590241,108,2671.422646
-260.72517,149,2679.028991
-245.660929,125,2685.434376
-268.440777,163,2693.74148
-277.868215,160,2701.898467
-634.462201,351,2719.61319
-344.175533,174,2728.470462
-308.567011,165,2736.877508
-1345.172007,500,2762.04865
-322.173964,161,2770.255488
-238.901787,120,2776.410674
-397.989024,223,2787.720121
-1215.02103,500,2812.891232
-363.333328,184,2822.249095
-1199.467255,500,2847.403443
-1208.159259,500,2872.574692
-1161.147815,500,2897.745788
-1264.666081,500,2922.916892
-311.892261,159,2931.023675
-1307.748322,500,2956.194927
-313.159583,159,2964.301528
-296.283244,147,2971.807784
-1237.016344,500,2996.978907
-188.221894,94,3001.832979
-1521.49215,500,3027.004017
-191.636415,102,3032.259012
-1284.394072,500,3057.429523
-224.238938,103,3062.73402
-215.078988,99,3067.838264
-182.369594,101,3073.042912
-196.327754,94,3077.897254
-508.313402,219,3089.006024
-267.987532,111,3094.7108
-201.485078,97,3099.715045
-279.618041,117,3105.720135
-312.579908,123,3112.025338
-874.146308,292,3126.787681
-192.813742,95,3131.691827
-175.647187,98,3136.746037
-172.096596,95,3141.650183
-187.71217,99,3146.754423
-179.288024,97,3151.758637
-187.998415,93,3156.562661
-162.146761,97,3161.566848
-205.527909,104,3166.921311
-178.431047,98,3171.975577
-164.502061,93,3176.779615
-202.098211,104,3182.134078
-190.673684,97,3187.13828
-197.458776,101,3192.342729
-185.27584,99,3197.44693
-221.833776,104,3202.801401
-182.156357,93,3207.60545
-170.457243,97,3212.609631
-214.210265,102,3217.86405
-156.47353,94,3222.718107
-176.25329,95,3227.622285
-181.478866,97,3232.626418
-160.049847,93,3237.430491
-161.367367,94,3242.284509
-197.352848,99,3247.388779
-179.540497,97,3252.392977
-194.082483,99,3257.49728
-171.136685,93,3262.301282
-218.12235,101,3267.505642
-173.340592,97,3272.509821
-183.525212,93,3277.313957
-203.122861,102,3282.568285
-239.209757,112,3288.323141
-160.16117,94,3293.177158
-234.143337,125,3299.582523
-227.30101,120,3305.737754
-233.900561,115,3311.642978
-238.226858,119,3317.748308
-255.132196,135,3324.653526
-213.350949,113,3330.458381
-198.367935,115,3336.36338
-216.02218,108,3341.917999
-196.203504,114,3347.772918
-214.82619,120,3353.928064
-218.761139,113,3359.732933
-219.100419,117,3365.738322
-270.213292,144,3373.094166
-287.617646,166,3381.551355
-205.78739,114,3387.406184
-905.998193,500,3412.577229
-953.33489,500,3437.748373
-943.015804,500,3462.919733
-959.075055,500,3488.090575
-952.787416,500,3513.26191
-948.940498,500,3538.432705
-915.342597,500,3563.603793
-955.229963,500,3588.775188
-163.458919,99,3593.879241
-155.519298,102,3599.133563
-255.841809,100,3604.287906
-187.872942,114,3610.143423
-211.786634,122,3616.398066
-198.479855,111,3622.102875
-168.865128,104,3627.45733
-183.880217,100,3632.611727
-172.249408,105,3638.016194
-167.649241,105,3643.420684
-191.241022,107,3648.925305
-173.91522,112,3654.680157
-266.095376,113,3660.485013
-179.508917,106,3665.939759
-181.107202,100,3671.094041
-159.434465,98,3676.148123
-156.415401,104,3681.50285
-172.958463,105,3686.907256
-177.076283,105,3692.311793
-174.946591,106,3697.766378
-228.77101,108,3703.321102
-152.886922,95,3708.2251
-222.391656,97,3713.229302
-273.171738,111,3718.934066
-184.549021,110,3724.588832
-176.922881,108,3730.126818
-536.972567,224,3741.486233
-174.231131,99,3746.590546
-173.403741,100,3751.744851
-1340.433387,500,3776.91589
-154.950949,97,3781.920209
-364.122217,211,3792.62908
-186.033031,100,3797.783412
-170.377391,97,3802.787682
-153.698639,97,3807.791775
-251.890288,127,3814.297276
-228.745974,115,3820.202311
-182.13824,104,3825.556706
-454.643097,293,3840.369132
-247.477001,135,3847.274914
-269.878786,182,3856.532647
-213.846588,113,3862.337518
-189.778561,108,3867.892153
-168.781058,102,3873.146636
-211.860228,104,3878.501059
-208.419073,101,3883.705411
-179.93835,102,3888.959815
-204.747253,108,3894.514486
-211.639633,104,3899.868958
-185.691613,103,3905.173426
-214.922626,102,3910.427788
-211.987669,109,3916.032785
-208.276531,111,3921.737637
-215.933596,105,3927.141822
-180.7703,103,3932.446278
-197.011046,100,3937.600573
-210.642362,102,3942.855001
-178.104277,102,3948.109375
-155.611606,98,3953.163778
-191.643987,99,3958.268007
