#{"t_start": 1767801299.1029978, "env_id": "None"}
r,l,t
-1217.678698,500,24.736789
-1103.512827,500,49.907485
-1373.380204,500,75.078687
-1569.550855,500,100.249888
-1233.317855,500,125.42006
-1244.534943,500,150.590968
-1384.774338,500,175.761978
-1465.156115,500,200.916176
-1425.684604,500,226.086809
-1117.974201,500,251.241315
-1217.698229,500,276.395313
-1011.719805,500,301.566461
-855.708583,500,326.737409
-711.436898,418,347.804923
-576.700398,311,363.518301
-574.346061,341,380.73201
-406.674967,226,392.191882
-370.587582,216,403.150654
-372.30729,203,413.442848
-423.174921,208,424.001915
-309.230666,178,433.060028
-291.648399,167,441.566246
-256.49319,142,448.822405
-255.511512,146,456.261728
-259.127883,148,463.81808
-276.954528,157,471.824508
-243.896438,140,478.980952
-329.381911,129,485.585951
-239.424442,136,492.542031
-243.322349,140,499.697699
-231.229769,133,506.503417
-238.817549,134,513.359158
-245.667375,138,520.398185
-234.885837,132,527.137249
-222.913133,120,533.275673
-251.163777,137,540.281776
-268.366717,145,547.687895
-221.841746,125,554.093302
-223.086909,126,560.548746
-214.204581,125,566.953979
-241.911227,136,573.909819
-203.402141,124,580.264817
-186.816893,118,586.319948
-205.858199,110,591.975064
-173.140767,110,597.629329
-178.300097,112,603.367518
-77.361213,116,609.322531
-192.622837,115,615.227298
-197.44609,117,621.232363
-160.156896,104,626.58675
-202.539163,112,632.34162
-171.196055,106,637.796216
-159.816346,106,643.250683
-164.185978,101,648.455974
-164.760455,100,653.609242
-183.057808,112,659.365139
-154.501199,105,664.768616
-186.900283,115,670.673823
-178.000989,110,676.328519
-171.166323,101,681.532628
-162.648513,100,686.686899
-150.978238,95,691.591527
-153.498986,98,696.645499
-164.434196,99,701.749501
-154.928646,97,706.753625
-164.467218,98,711.807848
-163.566003,100,716.962212
-149.235242,95,721.866411
-163.445973,100,727.020754
-166.14151,96,731.975037
-154.985879,97,736.979494
-169.207373,98,742.033432
-159.625119,97,747.037552
-843.243541,256,759.998093
-160.773805,96,764.95222
-173.622081,101,770.156851
-171.439456,102,775.411241
-158.648723,95,780.315083
-158.37847,95,785.219294
-146.689948,94,790.073234
-151.843023,94,794.927219
-143.708012,92,799.681192
-163.638453,115,805.58639
-185.946642,100,810.740402
-195.113107,105,816.145334
-166.929772,92,820.898854
-175.390351,96,825.836647
-183.577076,97,830.84082
-247.395691,123,837.145801
-306.596035,148,844.702366
-206.476246,99,849.806703
-222.354111,113,855.611185
-243.503595,117,861.616498
-203.641511,107,867.104362
-197.703471,107,872.608701
-214.325062,108,878.163288
-183.83752,97,883.167785
-189.910466,101,888.371885
-178.33166,97,893.376051
-178.812218,92,898.130074
-186.104965,100,903.284592
-171.409995,95,908.188478
-186.08304,97,913.192611
-183.026301,100,918.346895
-186.049175,96,923.301215
-185.757798,95,928.205291
-230.120763,118,934.260429
-237.9604,124,940.615906
-59.32514,101,945.819966
-211.61042,102,951.074608
-187.767884,92,955.828627
-200.842521,97,960.832311
-220.759295,104,966.187192
-82.672163,121,972.392346
-203.300622,195,982.300656
-59.220903,100,987.454886
-190.038917,106,992.909214
-69.214423,103,998.213645
-170.268257,103,1003.501691
-227.813347,112,1009.256155
-177.518436,119,1015.361265
-170.362448,100,1020.515591
-61.961835,106,1025.970546
-172.566708,97,1030.974683
-185.853798,119,1037.079332
-205.364065,108,1042.63431
-181.141364,136,1049.590567
-189.45463,122,1055.845088
-182.348169,120,1062.000247
-197.175061,92,1066.754491
-216.963685,146,1074.210461
-64.18676,102,1079.464989
-164.23914,96,1084.418952
-182.480941,91,1089.122903
-193.649238,91,1093.826754
-161.606924,91,1098.530671
-192.369312,92,1103.284975
-179.734049,90,1107.938627
-165.409589,92,1112.692648
-190.529527,91,1117.396496
-211.254508,98,1122.451064
-192.300468,93,1127.254759
-159.495979,92,1132.008816
-223.913729,108,1137.563282
-183.532251,92,1142.3174
-188.579073,93,1147.121603
-181.256184,111,1152.826384
-179.877541,92,1157.580078
-190.045766,91,1162.28401
-192.630669,91,1166.988151
-179.711174,135,1173.893836
-174.109077,91,1178.597644
-73.569417,111,1184.302723
-173.87775,104,1189.656956
-264.520021,147,1197.163193
-203.602643,95,1202.067365
-172.2679,129,1208.672803
-223.945304,122,1214.928032
-244.231468,135,1221.833825
-225.547694,119,1227.938929
-252.112097,137,1234.944758
-221.053863,118,1240.999916
-211.270883,113,1246.804931
-226.092869,119,1252.909775
-206.507447,114,1258.764973
-202.60691,117,1264.76971
-203.795993,135,1271.675402
-192.553749,112,1277.430257
-193.298281,102,1282.684712
-199.987929,108,1288.23954
-211.782926,120,1294.394711
-176.258083,101,1299.59913
-212.113262,115,1305.504119
-203.529019,115,1311.409018
-190.030671,108,1316.963583
-82.410774,111,1322.668108
-183.373826,103,1327.972888
-179.955559,100,1333.126916
-188.725373,107,1338.631462
-203.371365,111,1344.31953
-83.704483,102,1349.573918
-177.275502,117,1355.578905
-73.554812,108,1361.133954
-169.934917,106,1366.588262
-64.955976,105,1371.992874
-156.56775,101,1377.197322
-66.335375,103,1382.501548
-177.636836,106,1387.956279
-171.729359,115,1393.861211
-174.777803,105,1399.265769
-180.597872,108,1404.82005
-185.606277,114,1410.674951
-182.304276,110,1416.329914
-188.343319,113,1422.134978
-166.622903,107,1427.639169
-160.661979,100,1432.793438
-170.460901,104,1438.148246
-185.662799,113,1443.953195
-166.021069,103,1449.257509
-186.844654,118,1455.312278
-184.521121,113,1461.117486
-180.43802,110,1466.77231
-265.346648,125,1473.177535
-77.278294,105,1478.58172
-192.07072,123,1484.887061
-176.666778,112,1490.6425
-199.103348,124,1496.997276
-202.241285,141,1504.203371
-187.990971,103,1509.507725
-185.422634,136,1516.463914
-93.961281,114,1522.318362
-198.434997,110,1527.973517
-167.45614,117,1533.978632
-179.189779,101,1539.165897
-84.662955,122,1545.42109
-73.862262,111,1551.126081
-81.331867,120,1557.281044
-198.361565,92,1562.034986
-56.660728,106,1567.489671
-58.378406,101,1572.694195
-57.61275,105,1578.081925
-73.131164,104,1583.436202
-67.181205,107,1588.940861
-69.375091,111,1594.645904
-63.073428,106,1600.10039
-177.004431,134,1606.955875
-58.991304,104,1612.311435
-170.026964,135,1619.21627
-58.712278,106,1624.687609
-113.132935,111,1630.392132
-184.505798,98,1635.446346
-188.350232,96,1640.383786
-53.693624,103,1645.688628
-184.623866,92,1650.442311
-79.59397,102,1655.696879
-85.890064,100,1660.85091
-46.615072,103,1666.138687
-95.016154,112,1671.893809
-78.530958,104,1677.24799
-66.100337,100,1682.402323
-188.452966,119,1688.507627
-85.072168,108,1694.062343
-309.96874,126,1700.517897
-68.914431,99,1705.622028
-72.278632,101,1710.826178
-68.276244,105,1716.230576
-64.884747,99,1721.334863
-60.560556,107,1726.83955
-70.259689,103,1732.143942
-66.584969,101,1737.348631
-71.784195,106,1742.802881
-74.042188,105,1748.207398
-79.062566,108,1753.762001
-61.006062,101,1758.966702
-81.35049,108,1764.520997
-71.007748,104,1769.875591
-69.783101,102,1775.130149
-63.245921,102,1780.384374
-62.407437,102,1785.638731
-71.66996,105,1791.043464
-63.326074,102,1796.297896
-71.539998,102,1801.552264
-59.17277,104,1806.907018
-70.211908,106,1812.361043
-60.02957,104,1817.715641
-57.951391,102,1822.970589
-67.634657,106,1828.424628
-70.341302,106,1833.879126
-62.26293,104,1839.234007
-69.458819,105,1844.638395
-61.461606,104,1849.992745
-99.114387,146,1857.449169
-63.337206,104,1862.803399
-74.615624,109,1868.408026
-59.786314,107,1873.912764
-67.951402,107,1879.417639
-63.381628,107,1884.92232
-67.723429,106,1890.376557
-81.204946,111,1896.081554
-57.745875,105,1901.485973
-54.627021,103,1906.790479
-64.446448,112,1912.545503
-77.216759,117,1918.550204
-67.282739,110,1924.205185
-54.273913,107,1929.709922
-65.811729,108,1935.264131
-72.892376,115,1941.169152
-65.308585,109,1946.773869
-76.154517,117,1952.779048
-61.015839,105,1958.183557
-74.789973,109,1963.788384
-57.915872,106,1969.242765
-78.793424,110,1974.897475
-54.00711,103,1980.201885
-59.098308,101,1985.406271
-66.549222,104,1990.744079
-58.868426,112,1996.499264
-70.142884,110,2002.153657
-64.738612,105,2007.558182
-55.237998,107,2013.046124
-75.602481,118,2019.101899
-66.452461,107,2024.605823
-56.875633,105,2030.010223
-76.497678,108,2035.564966
-57.356919,103,2040.869504
-63.579783,107,2046.374068
-49.830615,105,2051.77857
-69.780094,105,2057.183201
-73.81403,106,2062.637768
-57.059509,102,2067.892165
-53.222835,102,2073.146495
-58.569887,101,2078.350969
-45.620353,105,2083.755803
-55.273583,103,2089.060103
-60.483045,102,2094.314525
-66.194446,107,2099.819005
-72.297494,106,2105.273707
-60.796832,102,2110.52794
-53.525023,104,2115.882901
-74.312096,104,2121.23706
-51.88574,105,2126.641457
-60.733921,107,2132.14632
-47.803726,104,2137.500445
-52.363532,105,2142.905063
-53.778181,104,2148.25949
-44.558989,103,2153.563927
-80.919145,109,2159.168608
-46.184159,102,2164.423005
-57.067051,104,2169.777542
-45.339435,103,2175.081889
-54.969753,102,2180.336285
-69.570556,102,2185.590591
-63.563148,104,2190.945259
-40.209788,101,2196.150034
-43.38134,102,2201.403981
-69.031589,104,2206.75872
-45.327103,103,2212.062924
-52.292145,103,2217.367405
-38.398138,100,2222.521651
-73.887752,102,2227.776067
-59.972522,110,2233.430786
-52.676169,102,2238.685577
-48.017039,102,2243.940042
-52.051509,102,2249.177544
-69.012211,130,2255.832989
-50.793097,102,2261.087283
-72.992843,105,2266.492801
