#{"t_start": 1767865492.5766735, "env_id": "None"}
r,l,t
-2284.973469,500,24.753664
-1947.39328,500,49.908128
-1654.176007,500,75.079524
-1954.06597,500,100.250234
-1686.471341,500,125.421272
-1723.313865,500,150.593271
-2122.837895,500,175.76348
-2224.24628,500,200.934582
-2350.870971,500,226.105702
-2386.797728,500,251.276797
-2910.143419,500,276.431191
-2976.054205,500,301.602269
-3881.581406,500,326.773501
-2651.677019,500,351.944951
-3930.352234,500,377.115578
-2936.042419,500,402.286686
-2330.176472,500,427.457848
-2181.495496,500,452.628903
-5109.369809,500,477.800001
-613.523517,193,487.608234
-802.515531,156,495.548327
-945.889084,161,503.755114
-829.056476,157,511.761799
-901.727643,146,519.218032
-767.248645,147,526.724365
-776.219506,139,533.830376
-737.749039,143,541.136428
-605.131021,136,548.092469
-794.295718,136,555.048417
-499.231116,135,561.953872
-528.313315,139,569.059824
-462.549348,131,575.765453
-713.743665,127,582.270988
-495.771284,127,588.776353
-535.822374,127,595.281793
-556.243816,131,601.970998
-605.648612,132,608.726426
-451.019814,129,615.332351
-547.547636,131,622.037682
-447.788742,126,628.492985
-576.322258,125,634.89848
-569.707244,128,641.453908
-472.200625,126,647.909283
-590.984539,129,654.515054
-514.774675,128,661.070304
-609.15397,126,667.525674
-626.452662,128,674.064528
-526.441913,125,680.469867
-599.12343,126,686.925703
-543.845925,125,693.330695
-529.096504,127,699.83615
-482.059254,127,706.341626
-538.248001,127,712.847001
-494.847641,124,719.202379
-443.111395,125,725.607733
-623.942649,125,732.013066
-463.474924,125,738.418468
-571.226359,123,744.723735
-560.437943,124,751.079084
-519.478207,126,757.534467
-567.451679,125,763.939864
-625.983371,125,770.345188
-501.768705,125,776.750801
-510.088139,125,783.155988
-435.966042,123,789.461242
-456.771281,124,795.816601
-574.723472,125,802.222149
-417.428886,125,808.627465
-429.72297,124,814.983018
-486.327904,125,821.388137
-470.424215,122,827.643327
-499.91496,124,833.998705
-425.965836,123,840.303929
-426.683373,125,846.70933
-509.877395,123,852.997932
-405.642837,123,859.30313
-589.438057,121,865.508353
-425.122655,125,871.913733
-549.564659,122,878.168955
-490.898718,123,884.474206
-439.230579,123,890.779829
-500.336115,123,897.084879
-495.828946,123,903.390078
-477.522176,124,909.74555
-509.68865,122,916.000738
-551.205718,124,922.355944
-531.546846,124,928.711311
-426.596548,124,935.066616
-473.172545,124,941.422011
-574.195642,129,948.027473
-529.367911,128,954.583033
-548.794778,126,961.038468
-501.111273,128,967.593869
