#{"t_start": 1767852628.9260564, "env_id": "None"}
r,l,t
-1300.60538,500,24.720315
-1383.525496,500,49.891456
-1379.970565,500,75.045883
-1124.162287,500,100.217001
-1111.572057,500,125.388316
-1471.182622,500,150.559305
-1299.288481,500,175.730424
-1373.07107,500,200.901476
-1212.717185,500,226.072468
-1071.854466,500,251.24364
-1120.509098,500,276.414737
-1000.544811,500,301.585834
-702.32774,403,321.903008
-657.041585,403,342.219901
-507.415782,301,357.432692
-364.732217,307,372.945705
-456.628448,243,385.256003
-381.884762,196,395.197652
-246.376874,139,402.303625
-283.085879,156,410.260293
-249.497341,159,418.367138
-288.566907,155,426.273741
-243.867299,129,432.879325
-229.190149,125,439.284601
-178.20006,113,445.089626
-199.082398,121,451.294676
-254.021073,136,458.23385
-191.489085,124,464.58917
-178.058251,110,470.243896
-167.592452,111,475.948701
-72.159642,122,482.204008
-174.254989,122,488.460007
-177.765255,107,493.963786
-200.874717,111,499.668559
-217.60539,118,505.723665
-148.844866,100,510.878017
-178.762828,106,516.332514
-170.897195,101,521.536917
-167.699067,103,526.841373
-162.469144,101,532.045698
-206.39768,117,538.050753
-172.049718,100,543.205087
-157.666551,100,548.359374
-158.031312,97,553.36358
-156.492901,98,558.417824
-149.131313,97,563.422014
-205.92371,111,569.126786
-148.532766,98,574.181044
-140.722063,98,579.235286
-150.782214,96,584.189832
-188.739597,109,589.794135
-200.973103,108,595.348795
-212.539762,109,600.953567
-154.967206,106,606.408132
-143.312068,99,611.512316
-196.1558,107,617.017301
-47.236538,106,622.471545
-147.888576,95,627.3757
-207.466275,108,632.930684
-218.37155,111,638.635448
-156.394213,102,643.889479
-154.833368,100,649.043808
-155.51153,101,654.248482
-147.203343,97,659.2356
-158.732642,100,664.390011
-147.315773,99,669.494245
-158.312199,105,674.89887
-156.28763,105,680.303319
-162.688246,98,685.357597
-153.377193,114,691.212476
-151.534669,100,696.3668
-157.110315,101,701.571511
-168.155716,132,708.327471
-152.050112,110,713.981864
-156.977791,107,719.486202
-156.456972,112,725.241002
-156.862858,108,730.79592
-153.11051,112,736.550517
-164.695974,129,743.156036
-162.145619,113,748.960883
-66.316601,101,754.165753
-157.617934,104,759.51979
-161.97079,110,765.17472
-139.386831,96,770.128662
-145.859336,92,774.882729
-58.808416,100,780.03704
-153.683302,95,784.941054
-150.386179,99,790.045619
-155.262907,96,794.999556
-154.82242,103,800.304136
-156.131701,103,805.608398
-154.033715,107,811.113366
-166.008228,101,816.317372
-147.077389,101,821.52173
-151.400004,102,826.776138
-156.107001,102,832.030512
-152.537636,102,837.284958
-150.553211,100,842.439235
-149.358369,103,847.743705
-151.003037,96,852.697917
-149.65924,99,857.802159
-161.001309,99,862.906423
-148.718211,98,867.960606
-148.0467,97,872.964856
-156.520569,101,878.169258
-62.760231,106,883.62377
-154.681299,99,888.728067
-148.536387,97,893.732221
-57.680756,102,898.986727
-58.938483,111,904.691417
-145.432869,98,909.745934
-62.593529,110,915.400391
-39.794668,99,920.504689
-52.426819,100,925.659114
-62.206784,102,930.913422
-59.384847,109,936.518299
-58.054225,110,942.172964
-49.904612,100,947.327307
-42.270548,100,952.465801
-141.294766,97,957.452362
-45.823991,101,962.656763
-142.481015,95,967.561005
-137.276613,93,972.364908
-139.221851,94,977.219392
-147.024795,94,982.073144
-145.51711,94,986.927418
-149.067496,93,991.731174
-171.209679,106,997.185684
-139.637282,92,1001.939611
-140.750397,93,1006.743657
-148.627663,92,1011.498204
-150.619578,92,1016.251635
-150.011882,93,1021.039008
-148.935532,94,1025.893058
-152.263735,95,1030.797632
-154.300073,97,1035.80138
-148.477427,101,1041.005713
-142.164554,95,1045.909822
-148.570127,106,1051.364428
-47.046585,100,1056.518761
-163.809812,112,1062.273565
-41.273752,100,1067.427853
-57.644199,102,1072.682249
-53.838448,102,1077.936776
-178.515767,160,1086.093517
-54.556688,102,1091.347941
-62.928567,104,1096.702408
-50.475368,107,1102.207025
-50.576759,101,1107.411381
-50.922608,102,1112.666222
-59.054995,103,1117.970534
-54.181751,108,1123.524873
-46.019036,104,1128.879349
-58.664267,100,1134.033684
-56.353743,108,1139.588341
-56.094527,101,1144.792755
-57.937604,101,1149.997074
-52.359032,98,1155.051326
-51.028182,101,1160.255645
-60.217388,101,1165.460025
-49.762927,105,1170.864566
-58.308174,101,1176.068945
-45.761769,101,1181.273371
-55.18684,100,1186.427631
-58.650559,102,1191.682051
-48.532484,99,1196.786671
-44.902902,100,1201.940668
-41.183067,98,1206.994838
-43.575971,99,1212.099124
-44.362538,99,1217.20349
-45.046057,100,1222.357795
-52.695757,100,1227.51204
-45.810002,99,1232.616354
-49.068302,99,1237.720624
-63.260826,101,1242.925
-51.653083,101,1248.129617
-50.594026,102,1253.383643
-47.565141,99,1258.487931
-46.317976,101,1263.692442
-57.806857,101,1268.897258
-53.292594,103,1274.201203
-53.645583,100,1279.355496
-50.586443,100,1284.509889
-44.064598,99,1289.614116
