#{"t_start": 1767839728.4616997, "env_id": "None"}
r,l,t
-2569.70116,500,24.736974
-1855.348594,500,49.90838
-1616.263629,500,75.079355
-1645.189904,500,100.250272
-1639.003945,500,125.405093
-1620.531486,500,150.575802
-1944.809985,500,175.747217
-1547.535644,500,200.901297
-1624.687329,500,226.072397
-3248.971952,500,251.243617
-2204.257793,500,276.414638
-2255.119619,500,301.569325
-2615.229179,500,326.740198
-1854.602504,500,351.895056
-1122.875957,500,377.049134
-1299.761287,500,402.220112
-1442.163703,496,427.191074
-286.066595,168,435.748265
-1285.40263,329,452.362297
-1853.662838,262,465.623346
-1437.028839,246,478.084229
-2391.3083,282,492.345713
-836.481395,206,502.804462
-530.813241,164,511.162199
-509.632468,158,519.218674
-499.758164,162,527.475165
-459.476072,149,535.081516
-458.473246,143,542.387713
-756.659429,134,549.243512
-531.020657,139,556.349364
-453.29597,147,563.85612
-797.985395,134,570.711441
-441.423246,142,577.96749
-327.238322,133,584.773203
-360.609373,123,591.078498
-246.513128,111,596.783267
-223.549491,102,602.037763
-209.438288,104,607.392154
-320.438752,122,613.647878
-373.810596,128,620.202909
-302.417461,118,626.257997
-352.425009,115,632.146327
-344.606417,118,638.201378
-342.512558,120,644.356534
-209.217773,106,649.811082
-330.572373,119,655.916184
-183.079653,103,661.22062
-232.326066,101,666.42505
-235.162027,106,671.879596
-202.689474,97,676.883772
-189.889274,99,681.98811
-216.204453,104,687.342521
-181.372122,97,692.346727
-209.165117,100,697.501074
-184.906713,99,702.60532
-184.028779,97,707.609513
-182.430748,100,712.763905
-184.026437,95,717.667949
-201.245024,97,722.672267
-312.430119,106,728.127029
-210.430812,100,733.281048
-343.279498,121,739.486237
-398.599085,122,745.741475
-163.506837,96,750.695662
-203.789087,96,755.633115
-207.893829,98,760.687384
-213.441167,95,765.591467
-202.353402,95,770.495551
-184.567376,95,775.399776
-211.96668,95,780.303827
-200.91546,99,785.408182
-213.666976,97,790.412276
-384.749803,129,797.017842
-199.065035,97,802.022508
-190.855418,96,806.976502
-217.850385,96,811.930403
-213.862942,100,817.084648
-232.197962,95,821.988735
-221.892462,98,827.042979
-204.998901,97,832.047275
-201.170046,94,836.901261
-195.651064,96,841.855595
-201.823516,96,846.809584
-213.029918,97,851.813788
-208.046998,96,856.768267
-356.263693,124,863.123534
-331.848548,122,869.378606
-364.048197,125,875.78399
-214.739439,97,880.788191
-208.628651,94,885.642506
-234.670219,95,890.529567
-204.071401,95,895.433668
-242.855648,99,900.537936
-207.287334,97,905.542453
-210.593363,95,910.446251
-232.129153,96,915.400485
-216.392915,100,920.5548
-201.195471,96,925.509235
-250.108488,96,930.463022
-209.523743,98,935.517258
-218.107005,96,940.47161
-214.927843,96,945.425953
-220.552307,96,950.380047
-202.913772,95,955.283907
-206.594671,97,960.288043
-275.62364,109,965.87608
-225.03379,96,970.813841
-241.612555,96,975.767673
-237.725983,99,980.87214
-227.549181,103,986.176472
-209.049008,114,992.03136
-228.406948,96,996.985601
-256.939313,104,1002.340164
-208.141615,96,1007.294116
-227.455299,93,1012.098243
-229.506117,93,1016.902264
-225.266569,95,1021.806253
-211.882518,108,1027.344186
-226.839466,94,1032.198247
-218.261331,94,1037.052318
-233.540589,94,1041.889704
-201.246842,94,1046.743829
-228.112236,92,1051.497995
-235.712728,93,1056.30184
-190.185917,98,1061.35609
-230.097681,110,1067.010864
-216.076437,96,1071.964982
-225.408449,96,1076.919122
-207.905322,96,1081.87339
-214.243934,97,1086.877446
-185.936892,99,1091.981781
-208.237985,101,1097.186332
-194.837836,95,1102.090516
-185.701849,93,1106.894361
-227.64938,93,1111.698664
-211.768204,93,1116.503516
-210.68685,95,1121.406647
-209.133124,93,1126.210496
-210.964977,95,1131.114594
-215.8375,93,1135.918947
-187.622988,96,1140.872899
-186.682456,94,1145.726924
-191.795312,95,1150.631088
-190.058578,94,1155.468932
-193.574917,95,1160.372523
-184.658214,93,1165.176571
-174.35902,95,1170.081221
-201.481799,95,1174.984806
-261.64796,122,1181.24002
-187.125538,95,1186.144099
-186.375498,95,1191.048192
-205.2845,97,1196.05234
-178.218756,93,1200.856391
-233.83634,94,1205.710856
-186.338781,95,1210.61459
-192.582686,98,1215.668849
-185.024667,95,1220.572917
-230.132215,98,1225.627138
-198.882922,100,1230.781456
