#{"t_start": 1767826867.6470602, "env_id": "None"}
r,l,t
-1526.021498,500,24.737152
-1597.616055,500,49.908062
-1654.190756,500,75.079145
-1266.110232,500,100.250272
-1535.272105,500,125.421366
-1289.326711,500,150.592423
-1207.070039,500,175.763496
-1370.489095,500,200.934612
-1494.209068,500,226.106118
-1508.427898,500,251.276781
-1448.002229,500,276.447899
-1480.206201,500,301.619011
-1342.417714,500,326.790601
-1535.152287,500,351.961238
-1407.628039,500,377.132201
-1665.441152,500,402.303379
-1712.708745,500,427.474654
-1561.605032,405,447.891665
-889.302901,345,465.306521
-567.888597,228,476.86601
-541.579833,230,488.526144
-496.506965,220,499.685004
-410.650107,180,508.826066
-376.146355,174,517.683432
-391.453782,160,525.840616
-399.80855,156,533.796952
-372.380022,147,541.303239
-337.689684,146,548.759453
-365.797147,142,556.015571
-376.072746,139,563.121542
-376.977751,139,570.227464
-371.33368,138,577.283472
-360.061224,131,583.98898
-361.477175,133,590.79472
-372.429713,137,597.800943
-413.424372,136,604.739787
-305.498412,132,611.495414
-380.796495,130,618.150993
-390.146517,133,624.956647
-330.178326,131,631.645888
-365.54649,129,638.251175
-349.845386,132,645.00677
-356.574662,128,651.562361
-329.620239,127,658.067743
-346.64388,129,664.673386
-342.98798,128,671.212111
-376.13882,127,677.717571
-358.483549,128,684.273152
-385.179119,126,690.728443
-394.142916,127,697.234001
-392.00266,128,703.789454
-350.912804,128,710.344916
-337.731453,127,716.850346
-382.570958,133,723.656029
-380.746301,129,730.261638
-378.0744,128,736.817099
-342.8334,128,743.372926
-329.570151,128,749.928081
-316.621446,129,756.533652
-390.259084,132,763.289289
-345.341388,127,769.795056
-396.858354,131,776.500351
-327.700743,129,783.105894
-351.222686,130,789.76146
-317.660799,132,796.517145
-355.04101,130,803.172714
-361.524546,131,809.878323
-355.854363,127,816.383812
-334.998199,132,823.139457
-289.315486,130,829.795012
-293.223275,129,836.400589
-301.934195,126,842.856036
-343.615845,127,849.361496
-315.095421,125,855.766926
-356.033079,127,862.272726
-362.941469,127,868.777874
-317.620261,124,875.133196
-354.290472,129,881.722039
-351.562757,127,888.227547
-267.165223,125,894.6329
-346.090712,126,901.088396
-316.484268,125,907.493737
-304.884418,126,913.949039
-287.961996,125,920.354469
-330.194054,126,926.809938
-257.432879,124,933.165301
-290.498172,123,939.470617
-314.885991,123,945.775915
-358.228393,124,952.131227
-338.38693,124,958.486568
-309.738728,124,964.8421
-275.163291,123,971.147264
-306.736439,125,977.552611
-310.414525,124,983.908222
-307.909922,124,990.263579
-336.471526,124,996.618656
-337.782984,125,1003.024306
-295.941962,125,1009.429431
-312.814381,125,1015.834819
-347.515598,125,1022.240167
-344.281034,125,1028.645638
-359.877815,127,1035.151117
-306.019461,125,1041.556678
-365.61492,124,1047.912172
-366.071461,126,1054.367481
-385.557209,128,1060.922701
-310.235826,124,1067.278281
-370.520842,128,1073.833742
-308.236135,129,1080.439031
-301.558984,127,1086.944675
-348.967964,132,1093.700388
-287.289979,129,1100.305917
-364.721097,130,1106.96139
-307.746572,130,1113.600652
-369.561823,133,1120.405929
-418.887494,132,1127.161753
-337.268351,129,1133.767507
-403.489888,137,1140.773058
-390.71726,134,1147.629697
-400.550119,137,1154.634698
-352.778463,137,1161.640579
-378.582021,152,1169.39759
-448.946964,143,1176.703269
-466.645097,152,1184.459738
-479.627831,156,1192.416449
-537.460825,161,1200.623334
-634.726255,165,1209.03036
-536.222036,155,1216.937005
-444.583992,156,1224.877012
-671.274231,203,1235.185675
-912.242797,228,1246.745591
-889.874147,247,1259.256063
-2298.291651,500,1284.427127
-1585.049573,374,1303.293481
-393.627826,130,1309.948584
-402.56912,133,1316.75432
-444.945824,141,1323.960301
-455.988224,132,1330.716247
-389.379725,135,1337.621666
-485.763155,143,1344.928401
-519.807328,148,1352.484169
-636.944422,172,1361.258194
-702.026566,184,1370.616039
-746.884833,187,1380.124025
-575.980487,165,1388.530991
-636.120892,166,1396.988074
-750.432215,214,1407.847347
-759.994348,230,1419.50709
-757.809748,203,1429.816015
-680.650471,196,1439.774136
-550.790732,184,1449.131956
-479.110382,165,1457.539696
-494.683484,174,1466.396415
-523.252914,170,1475.053696
-561.940975,160,1483.210605
-658.276232,171,1491.917873
-583.133854,173,1500.725605
-449.813914,164,1509.08229
-412.84183,149,1516.688655
-502.188378,155,1524.595639
-426.054162,159,1532.702244
-441.91748,151,1540.408533
-492.049215,155,1548.315164
-396.099096,153,1556.121829
-425.984854,146,1563.57859
-408.083027,143,1570.884103
-440.273359,145,1578.290313
-335.274167,141,1585.496361
-372.359736,142,1592.752479
-406.961044,139,1599.858481
-478.353713,144,1607.214562
-388.989034,142,1614.454015
-385.30405,143,1621.760445
-385.252505,137,1628.765982
-373.728335,133,1635.571733
-373.419259,136,1642.527549
-341.746509,132,1649.283532
-363.42009,128,1655.839261
-320.113958,130,1662.494278
-379.107729,132,1669.250325
-318.164046,132,1676.005668
-341.416783,132,1682.761276
-344.336762,132,1689.516994
-331.475824,131,1696.222586
-318.883538,132,1702.978274
-375.454713,128,1709.533843
-337.249853,130,1716.190075
-348.48108,130,1722.844933
-321.492278,128,1729.400455
-315.48823,128,1735.95612
-312.280961,130,1742.611489
-326.512776,131,1749.317145
-313.365285,129,1755.922833
-328.020186,130,1762.578549
-345.133268,131,1769.283876
-354.371874,130,1775.939487
-313.039683,128,1782.494982
-347.744129,127,1789.000492
-356.874543,128,1795.555937
-304.30936,127,1802.061376
-309.35938,129,1808.65044
-396.02597,133,1815.456406
-360.917959,132,1822.211642
-346.08921,125,1828.616979
-348.256526,130,1835.272603
-291.590814,128,1841.828087
-300.965343,128,1848.383553
-302.236154,131,1855.089297
-308.527718,126,1861.545022
-316.024065,128,1868.100435
-357.056153,128,1874.655574
-329.317907,128,1881.211112
-299.601033,128,1887.766783
-330.869904,127,1894.272216
-312.381133,128,1900.827557
-324.1326,127,1907.333448
-307.314594,128,1913.888593
-308.317128,130,1920.544097
-303.557696,128,1927.099929
-326.463638,126,1933.555026
-298.497104,127,1940.060668
-300.951027,126,1946.515872
-355.336454,126,1952.971351
-351.153249,127,1959.477113
-370.66134,128,1966.032293
-306.717286,126,1972.487683
-324.971328,127,1978.99327
-318.924588,125,1985.398478
-316.109929,126,1991.853939
-291.000907,128,1998.409452
-320.026472,126,2004.865412
-314.886389,129,2011.47037
-312.112473,125,2017.875732
-345.989367,127,2024.381216
-332.750271,128,2030.936679
-327.913771,125,2037.342122
-324.511865,127,2043.847548
-287.225903,126,2050.302931
-351.551583,126,2056.741699
-338.638136,126,2063.197069
-370.945312,128,2069.752586
-336.313693,128,2076.308068
-353.165366,128,2082.863612
-348.130956,128,2089.419389
-298.811285,128,2095.974594
-318.954918,128,2102.530217
-314.674744,127,2109.035617
-330.245815,125,2115.440931
-361.998533,130,2122.096755
-351.088911,128,2128.652105
-368.148763,129,2135.257651
-308.184743,129,2141.863163
-347.031446,127,2148.368627
-340.566179,127,2154.874325
-329.620975,128,2161.429954
-318.011766,127,2167.93496
-369.032013,130,2174.590546
-334.260496,127,2181.096065
-307.29077,127,2187.6015
-307.075045,126,2194.056864
-291.510771,126,2200.512363
-344.216834,126,2206.967657
-312.483651,126,2213.423424
-345.142524,127,2219.928555
-317.528348,128,2226.484096
-308.773383,128,2233.0395
-362.470772,128,2239.59502
-359.256181,127,2246.100515
-298.538134,126,2252.556328
-311.617704,125,2258.961286
-309.892508,126,2265.416669
-339.732918,128,2271.972204
-302.822723,127,2278.477645
-370.706626,128,2285.033152
-323.694367,126,2291.488542
-354.724853,127,2297.977341
-304.459803,126,2304.416115
-297.419822,127,2310.921536
-349.775857,125,2317.310244
-293.678207,126,2323.765666
-321.677232,124,2330.12122
-314.960853,125,2336.526363
-301.029747,125,2342.931686
-362.459227,126,2349.387076
-292.503711,125,2355.792514
-352.293191,126,2362.2479
-303.865407,126,2368.703289
-349.685807,124,2375.058606
-356.045107,124,2381.413946
-324.310885,127,2387.919579
-291.782202,124,2394.274739
-322.146822,125,2400.680113
-313.81561,124,2407.035662
-349.325321,124,2413.390706
-305.086321,125,2419.796361
-321.28544,125,2426.20146
-320.342073,124,2432.556772
-366.01818,125,2438.962482
-305.162065,126,2445.417644
-325.139201,126,2451.856324
-330.633034,125,2458.261733
-321.351913,127,2464.767113
-326.940236,125,2471.173933
-364.634414,126,2477.628256
-342.721244,124,2483.983331
-305.116027,127,2490.48887
-317.396022,123,2496.794068
-318.815003,124,2503.149449
-298.867469,126,2509.604844
-331.527304,125,2516.010177
-301.478886,124,2522.365524
-344.085659,127,2528.870955
-343.526236,125,2535.276351
-300.75659,126,2541.731747
-331.532684,127,2548.237178
-324.726845,127,2554.809396
-299.687082,126,2561.264797
-339.457109,127,2567.753544
-322.123396,125,2574.158931
-319.588329,126,2580.614332
-304.398854,124,2586.969719
-342.150001,126,2593.425103
-298.255846,125,2599.830869
-316.491057,125,2606.235832
-336.077232,123,2612.525342
-331.666376,126,2618.980065
-331.428929,126,2625.435254
-319.408902,125,2631.841153
-305.702915,125,2638.246002
-296.108685,124,2644.601354
-287.555263,125,2651.006726
-339.174591,125,2657.412084
-313.746146,125,2663.81745
-324.96699,124,2670.172796
-337.654555,123,2676.478073
-297.340909,124,2682.833486
-295.923893,124,2689.18872
-330.670571,130,2695.844287
-535.938464,140,2703.000299
-394.459212,133,2709.806924
-302.875265,127,2716.31145
-241.684235,125,2722.716849
-268.146031,124,2729.072195
-271.108332,124,2735.427599
-251.189833,122,2741.682745
-294.018856,123,2747.971873
-276.405099,122,2754.22661
-297.594604,122,2760.482245
-300.206908,122,2766.738218
-324.616098,122,2772.992722
-321.301451,123,2779.298215
-305.547587,122,2785.553323
-293.417746,122,2791.808128
-310.345617,122,2798.063366
-292.366354,124,2804.418956
-317.781364,123,2810.723997
-312.198448,124,2817.079291
-309.757557,124,2823.434599
-351.716012,125,2829.840027
-335.327621,124,2836.195325
-339.827745,126,2842.65073
-344.391602,127,2849.156186
-386.997691,128,2855.711681
-346.4763,127,2862.217176
-379.721661,130,2868.872746
-303.39811,125,2875.278096
-361.963284,127,2881.783775
-366.922498,128,2888.339232
-379.559706,126,2894.794381
-341.653066,130,2901.450293
-400.875379,131,2908.156036
-363.271437,129,2914.761363
-394.080139,132,2921.517154
-319.554055,128,2928.072315
-372.001699,129,2934.677836
-361.199243,128,2941.233311
-338.90336,128,2947.7888
-411.168318,130,2954.444343
-348.173737,130,2961.099864
-405.466444,133,2967.905539
-364.333237,129,2974.511096
-356.895888,133,2981.316861
-328.119215,130,2987.972289
-397.958451,135,2994.878071
-379.814267,130,3001.534034
-332.177975,133,3008.339296
-409.603209,133,3015.14502
-378.973955,133,3021.950696
-391.877628,134,3028.806408
-382.483519,133,3035.612136
-342.544166,132,3042.367764
-389.427731,130,3049.023331
-392.707226,131,3055.728976
-341.355276,133,3062.534654
-380.737739,132,3069.290331
-386.172106,130,3075.945901
-393.731073,130,3082.601425
-349.017994,129,3089.20694
-305.519976,128,3095.76241
-393.527857,131,3102.468082
-345.823355,128,3109.023557
-365.997926,130,3115.679056
-313.082208,127,3122.185562
-381.615156,128,3128.740316
-366.389592,127,3135.245421
-339.759835,129,3141.850993
-339.251512,131,3148.556576
-382.712932,130,3155.212146
-328.425488,130,3161.8677
-362.084602,129,3168.473346
-345.503378,130,3175.128881
-330.254936,129,3181.734376
-325.561344,131,3188.439982
-326.498076,129,3195.045553
-350.669927,130,3201.701122
-344.900038,130,3208.356663
-309.641675,130,3215.012584
-371.630275,128,3221.567784
-378.240858,131,3228.273401
-360.179567,126,3234.728739
-374.786766,129,3241.334286
-382.800642,127,3247.839679
-355.137758,129,3254.445251
-356.482314,128,3261.000745
-406.771686,131,3267.706372
-344.741555,128,3274.261819
-382.04572,131,3280.967421
-384.769164,130,3287.623064
-336.736307,127,3294.128478
-346.269197,127,3300.633818
-346.522801,129,3307.239334
-351.534742,128,3313.794903
-395.387397,129,3320.400369
-319.373769,129,3327.00589
-329.781811,126,3333.461367
-393.611079,129,3340.067156
-308.904613,128,3346.622308
-328.224666,127,3353.127792
-364.747739,130,3359.766756
-397.622498,128,3366.322495
-346.309711,129,3372.927775
-313.862125,128,3379.483257
-331.212298,125,3385.8886
-322.23874,126,3392.343993
-358.515471,129,3398.949937
-314.503438,127,3405.454993
-313.615087,127,3411.943748
-329.442099,127,3418.449193
-314.62641,126,3424.904685
-357.131501,125,3431.310211
-379.46648,128,3437.865454
-320.083514,127,3444.371075
-313.419995,126,3450.826365
-355.044223,129,3457.432929
-375.901806,128,3463.987306
-363.160143,126,3470.442774
-326.957229,124,3476.798208
-347.614842,127,3483.303499
-321.10967,127,3489.808956
-352.467842,126,3496.264681
-366.314197,127,3502.770118
-346.366549,126,3509.225402
-342.12734,125,3515.630672
-352.968266,125,3522.03591
-332.755304,126,3528.491322
-320.633268,125,3534.896693
-341.336205,126,3541.352157
-331.592008,125,3547.757866
-341.087441,125,3554.162878
-321.599542,125,3560.568215
-289.233462,125,3566.973641
-343.082272,127,3573.479001
-305.658131,126,3579.934432
-350.137077,127,3586.439989
