#{"t_start": 1767891282.013456, "env_id": "None"}
r,l,t
-1730.935563,500,24.770283
-1795.756419,500,49.941504
-2671.236801,500,75.11262
-1743.622558,500,100.283719
-1716.112798,500,125.455146
-2020.847546,500,150.625925
-1893.916024,500,175.79708
-2007.057531,500,200.968305
-1642.759588,500,226.139616
-2359.166938,500,251.310504
-2029.212692,500,276.481587
-1553.564546,500,301.652756
-4059.675873,500,326.823753
-2198.233863,500,351.995328
-1572.861404,500,377.166209
-2070.620688,500,402.337127
-2739.031363,500,427.508245
-2122.706965,500,452.67936
-2161.318424,500,477.85064
-2099.675428,500,503.021843
-1725.607849,500,528.193079
-1600.68305,500,553.363907
-1565.744475,500,578.534939
-592.729659,187,588.042923
-517.968494,170,596.700211
-491.874121,162,604.940424
-429.709116,149,612.547106
-454.840509,160,620.703664
-395.868281,142,627.959977
-373.518132,134,634.815537
-405.917799,135,641.721273
-409.569093,138,648.777125
-413.622098,136,655.733019
-392.381989,129,662.338654
-364.632044,122,668.593891
-363.502332,125,674.999216
-366.616239,125,681.40457
-370.152029,122,687.659879
-370.246666,128,694.21535
-366.75563,125,700.620701
-363.940541,124,706.976004
-367.22961,121,713.181219
-375.450129,125,719.586578
-403.281107,132,726.342359
-374.480538,123,732.647572
-358.311343,122,738.902788
-364.846768,124,745.25817
-366.406662,125,751.663463
-367.162339,125,758.068831
-382.872137,126,764.524272
-365.327569,123,770.82959
-392.136716,126,777.285342
-375.377434,126,783.740401
-372.313084,123,790.045756
-371.045132,123,796.351038
-371.175018,123,802.656249
-359.377079,123,808.961575
-354.349946,121,815.166826
-391.887325,125,821.572091
-381.966972,126,828.011137
-376.595289,123,834.316225
-373.635952,122,840.571409
-379.722652,124,846.926788
-375.468097,121,853.131926
-367.164074,119,859.237049
-384.648196,121,865.442258
-362.770795,119,871.54739
-380.236867,120,877.70261
-354.685933,121,883.907723
-387.011512,121,890.112961
-376.744845,120,896.268058
-376.902471,124,902.60681
-381.244347,123,908.912024
-371.434513,121,915.117258
-403.578629,131,921.822866
-371.152104,124,928.178228
-390.267099,124,934.533587
-371.37149,118,940.588595
-393.622819,124,946.943923
-366.737998,118,952.998998
-382.746677,123,959.304298
-376.166747,118,965.359446
-389.27459,119,971.464586
-397.883646,125,977.869882
-382.363512,118,983.924966
-404.380279,128,990.480557
-379.086983,123,996.785711
-385.041822,119,1002.890841
-387.776436,126,1009.34629
-366.199248,116,1015.301294
-397.702443,118,1021.356392
-377.101122,123,1027.661621
-393.516998,122,1033.91687
-371.548657,122,1040.172452
-410.582594,130,1046.828016
-368.269213,120,1052.983372
-379.521141,121,1059.188427
-379.529411,121,1065.393307
-402.771602,124,1071.748656
-414.310271,127,1078.254064
-387.185999,122,1084.509285
-411.367622,126,1090.96485
-404.794735,125,1097.370085
-363.550589,119,1103.475208
-381.587644,120,1109.63066
