#{"t_start": 1767878381.348148, "env_id": "None"}
r,l,t
-1519.374833,500,24.770407
-1460.753892,500,49.92487
-1369.461396,500,75.095949
-1333.252693,500,100.267076
-1361.287624,500,125.438138
-1291.013101,500,150.609304
-1243.823672,500,175.780363
-1316.416524,500,200.951454
-1303.672365,500,226.122546
-1638.63895,500,251.293639
-1287.174084,500,276.448103
-1550.910359,500,301.619129
-1470.931927,500,326.790301
-1705.727505,500,351.961339
-1559.191179,500,377.133262
-1990.749882,500,402.303746
-1950.305509,500,427.474663
-1856.160681,450,450.144182
-2196.539233,498,475.214734
-1420.808489,375,494.130887
-708.675064,243,506.44115
-569.459905,226,517.900817
-591.975258,211,528.60944
-535.153853,166,537.066569
-563.939657,173,545.874219
-432.451977,152,553.630543
-321.385023,151,561.336943
-524.594955,155,569.243636
-370.124666,141,576.449678
-377.954108,143,583.755801
-379.67602,136,590.711672
-381.821954,135,597.617455
-349.258973,133,604.406557
-349.416662,134,611.262266
-379.098685,132,618.017932
-366.054978,131,624.723644
-370.687356,129,631.329103
-353.039751,130,637.984767
-391.153183,131,644.690308
-355.955074,127,651.195838
-359.971713,127,657.701464
-383.045621,128,664.258138
-294.136348,127,670.762332
-350.776727,129,677.367883
-302.273182,126,683.823318
-305.71114,126,690.278787
-361.389482,126,696.7341
-387.743185,128,703.289763
-379.459534,126,709.746396
-354.425879,126,716.200663
-334.895802,123,722.505772
-361.913726,126,728.96114
-384.274489,128,735.517202
-378.734351,128,742.072137
-326.091853,128,748.611002
-335.090889,129,755.216811
-350.972296,127,761.721892
-326.688761,125,768.127434
-318.899266,127,774.63281
-375.16919,126,781.088661
-339.173731,127,787.593703
-341.359021,125,793.999405
-303.497463,126,800.454474
-304.581518,125,806.859941
-327.168657,128,813.415607
-343.695739,126,819.870785
-368.044454,128,826.426309
-364.958464,127,832.915081
-313.101093,126,839.370487
-358.054206,128,845.926015
-381.17343,129,852.531565
-309.936219,128,859.087042
-382.29409,128,865.642547
-324.552302,129,872.248107
-353.113721,127,878.753648
-309.186961,126,885.208994
-348.604993,127,891.71448
-354.49332,129,898.320065
-376.325503,127,904.825465
-389.948059,127,911.330967
-310.934451,128,917.886446
-331.300157,126,924.341836
-340.220981,126,930.797232
-368.223986,130,937.452847
-323.593166,129,944.058443
-357.228634,127,950.563852
-308.861458,129,957.169359
-350.295712,126,963.624825
-309.476117,127,970.130267
-371.101584,127,976.635733
-321.833662,126,983.091145
-337.762336,127,989.596606
-334.157236,129,996.202117
-441.727389,131,1002.907758
-388.394893,127,1009.41326
-361.014759,127,1015.918702
-364.686956,129,1022.524227
-344.18943,127,1029.029715
-401.432608,127,1035.535498
-390.347716,127,1042.040609
-319.895032,127,1048.546554
-394.464855,128,1055.101558
-410.357456,136,1062.057373
-424.132362,129,1068.663676
-406.952616,128,1075.201773
-361.450493,128,1081.757283
-380.842628,127,1088.262772
-323.985617,126,1094.71827
-290.346199,126,1101.173615
-370.241703,128,1107.729102
-327.0331,125,1114.134452
-340.97779,125,1120.539828
-343.389731,127,1127.045328
-314.471132,125,1133.450732
-297.673466,127,1139.956125
-369.09773,128,1146.511603
-310.086658,128,1153.067143
-366.825554,128,1159.622639
-349.634888,129,1166.228185
-360.017981,126,1172.68453
-317.719076,127,1179.189714
-325.948883,127,1185.694547
-314.545635,126,1192.14991
-319.56631,127,1198.655385
-330.588977,126,1205.110816
-345.429732,126,1211.56618
-355.06524,128,1218.121709
-358.055489,128,1224.677606
-354.395142,127,1231.182685
-293.83381,128,1237.738289
-320.039869,127,1244.243608
-333.974209,125,1250.64907
-315.593629,126,1257.104414
-353.148574,126,1263.560173
-328.842093,125,1269.965214
-352.425248,126,1276.420841
-348.079423,132,1283.159604
-348.275397,130,1289.815554
-412.336519,130,1296.47079
-407.605875,132,1303.226473
-456.489601,133,1310.032143
-446.424248,132,1316.78784
-362.45931,132,1323.543503
-383.649232,132,1330.29934
-375.956821,129,1336.904881
-297.224176,128,1343.460339
-300.224293,126,1349.916107
-337.806548,124,1356.271277
-288.400588,123,1362.57644
-331.339253,124,1368.93199
-302.322587,125,1375.337537
-308.557875,127,1381.842408
-381.21743,130,1388.497977
-367.880585,132,1395.253657
-435.729872,133,1402.059455
-351.448348,133,1408.865057
-430.452285,133,1415.670772
-382.512668,135,1422.576587
-415.437756,134,1429.432346
-373.422119,132,1436.187984
-395.073874,133,1442.993697
-312.806696,134,1449.849467
-367.884836,137,1456.855303
-325.098636,134,1463.711078
-313.896627,131,1470.416673
-420.216479,126,1476.872129
-490.36868,125,1483.277801
-478.949604,124,1489.633116
-381.770134,124,1495.988196
-409.794313,125,1502.393663
-414.526648,125,1508.799385
-502.061636,125,1515.204398
-537.154757,126,1521.659808
-525.155539,128,1528.215427
-478.068078,126,1534.670702
-506.96538,127,1541.176187
-406.600664,126,1547.631746
-445.531078,125,1554.036877
-530.86365,126,1560.49227
-440.423682,126,1566.947885
-509.782313,125,1573.353266
-437.318601,126,1579.80849
-402.281654,127,1586.313933
-521.051791,125,1592.719392
-458.403402,128,1599.274828
-454.970185,126,1605.730252
-447.727039,125,1612.135612
-508.209559,128,1618.691245
-461.631204,125,1625.096473
-456.444914,123,1631.401945
-380.165413,122,1637.657028
-392.777003,122,1643.912224
-435.416572,121,1650.117477
-408.278576,121,1656.322674
-434.973098,123,1662.627986
-378.070086,123,1668.933259
-371.924692,121,1675.138454
-367.816675,122,1681.393675
-337.020351,124,1687.749035
-419.823451,123,1694.054634
-374.3376,122,1700.309566
-317.627297,124,1706.66489
-316.702222,123,1712.970172
-329.816237,122,1719.225446
-312.92305,122,1725.480701
-299.982133,122,1731.735922
-305.45731,122,1737.991155
-265.254856,121,1744.196394
-351.010454,120,1750.351508
-334.157166,119,1756.456909
-336.472406,119,1762.561794
-358.135624,121,1768.766953
-292.217044,120,1774.922726
-382.97687,120,1781.077427
-360.498885,119,1787.182424
-369.007388,120,1793.337605
-347.778236,121,1799.542792
-300.956898,121,1805.747993
-394.324236,123,1812.053268
-361.57392,120,1818.208832
-380.932892,121,1824.413652
-295.685789,121,1830.618872
-373.77468,121,1836.82409
-357.775869,119,1842.929211
-335.247263,121,1849.134392
-360.719272,120,1855.289557
-274.489172,121,1861.494755
-385.758233,121,1867.699981
-269.184021,121,1873.905231
-331.509625,120,1880.060364
-335.799764,119,1886.165468
-388.695614,120,1892.320604
-322.897346,120,1898.47582
-351.045538,120,1904.630917
-285.323131,119,1910.736057
-400.688772,121,1916.941262
-376.559206,120,1923.096431
-376.117303,122,1929.351702
-332.254367,121,1935.556962
-354.530189,120,1941.712076
-335.599087,119,1947.817141
