episode,agent,shape,reward_type,steps,success,outcome
1,sac,hexagon,old,100,1,success
2,sac,hexagon,old,100,1,success
3,sac,hexagon,old,100,1,success
4,sac,hexagon,old,99,1,success
5,sac,hexagon,old,100,1,success
6,sac,hexagon,old,107,1,success
7,sac,hexagon,old,102,1,success
8,sac,hexagon,old,100,1,success
9,sac,hexagon,old,100,1,success
10,sac,hexagon,old,100,1,success
11,sac,hexagon,old,100,1,success
12,sac,hexagon,old,100,1,success
13,sac,hexagon,old,101,1,success
14,sac,hexagon,old,100,1,success
15,sac,hexagon,old,100,1,success
16,sac,hexagon,old,100,1,success
17,sac,hexagon,old,100,1,success
18,sac,hexagon,old,107,1,success
19,sac,hexagon,old,100,1,success
20,sac,hexagon,old,99,1,success
21,sac,hexagon,old,100,1,success
22,sac,hexagon,old,99,1,success
23,sac,hexagon,old,100,1,success
24,sac,hexagon,old,100,1,success
25,sac,hexagon,old,100,1,success
26,sac,hexagon,old,100,1,success
27,sac,hexagon,old,100,1,success
28,sac,hexagon,old,100,1,success
29,sac,hexagon,old,100,1,success
30,sac,hexagon,old,100,1,success
31,sac,hexagon,old,100,1,success
32,sac,hexagon,old,100,1,success
33,sac,hexagon,old,100,1,success
34,sac,hexagon,old,100,1,success
35,sac,hexagon,old,99,1,success
36,sac,hexagon,old,100,1,success
37,sac,hexagon,old,100,1,success
38,sac,hexagon,old,100,1,success
39,sac,hexagon,old,100,1,success
40,sac,hexagon,old,100,1,success
41,sac,hexagon,old,100,1,success
42,sac,hexagon,old,100,1,success
43,sac,hexagon,old,100,1,success
44,sac,hexagon,old,100,1,success
45,sac,hexagon,old,100,1,success
46,sac,hexagon,old,100,1,success
47,sac,hexagon,old,100,1,success
48,sac,hexagon,old,99,1,success
49,sac,hexagon,old,100,1,success
50,sac,hexagon,old,100,1,success
51,sac,hexagon,old,100,1,success
52,sac,hexagon,old,100,1,success
53,sac,hexagon,old,100,1,success
54,sac,hexagon,old,100,1,success
55,sac,hexagon,old,100,1,success
56,sac,hexagon,old,100,1,success
57,sac,hexagon,old,100,1,success
58,sac,hexagon,old,100,1,success
59,sac,hexagon,old,100,1,success
60,sac,hexagon,old,100,1,success
61,sac,hexagon,old,100,1,success
62,sac,hexagon,old,100,1,success
63,sac,hexagon,old,100,1,success
64,sac,hexagon,old,100,1,success
65,sac,hexagon,old,100,1,success
66,sac,hexagon,old,100,1,success
67,sac,hexagon,old,100,1,success
68,sac,hexagon,old,100,1,success
69,sac,hexagon,old,100,1,success
70,sac,hexagon,old,108,1,success
71,sac,hexagon,old,100,1,success
72,sac,hexagon,old,100,1,success
73,sac,hexagon,old,100,1,success
74,sac,hexagon,old,100,1,success
75,sac,hexagon,old,100,1,success
76,sac,hexagon,old,100,1,success
77,sac,hexagon,old,100,1,success
78,sac,hexagon,old,100,1,success
79,sac,hexagon,old,100,1,success
80,sac,hexagon,old,100,1,success
81,sac,hexagon,old,100,1,success
82,sac,hexagon,old,100,1,success
83,sac,hexagon,old,100,1,success
84,sac,hexagon,old,99,1,success
85,sac,hexagon,old,100,1,success
86,sac,hexagon,old,100,1,success
87,sac,hexagon,old,100,1,success
88,sac,hexagon,old,100,1,success
89,sac,hexagon,old,100,1,success
90,sac,hexagon,old,100,1,success
91,sac,hexagon,old,100,1,success
92,sac,hexagon,old,100,1,success
93,sac,hexagon,old,100,1,success
94,sac,hexagon,old,99,1,success
95,sac,hexagon,old,100,1,success
96,sac,hexagon,old,100,1,success
97,sac,hexagon,old,100,1,success
98,sac,hexagon,old,100,1,success
99,sac,hexagon,old,100,1,success
100,sac,hexagon,old,100,1,success
