episode,agent,shape,reward_type,steps,success,outcome
1,sac,circle,old,96,1,success
2,sac,circle,old,96,1,success
3,sac,circle,old,96,1,success
4,sac,circle,old,97,1,success
5,sac,circle,old,96,1,success
6,sac,circle,old,96,1,success
7,sac,circle,old,96,1,success
8,sac,circle,old,96,1,success
9,sac,circle,old,96,1,success
10,sac,circle,old,96,1,success
11,sac,circle,old,96,1,success
12,sac,circle,old,96,1,success
13,sac,circle,old,96,1,success
14,sac,circle,old,96,1,success
15,sac,circle,old,500,0,timeout
16,sac,circle,old,96,1,success
17,sac,circle,old,96,1,success
18,sac,circle,old,96,1,success
19,sac,circle,old,96,1,success
20,sac,circle,old,95,1,success
21,sac,circle,old,96,1,success
22,sac,circle,old,96,1,success
23,sac,circle,old,97,1,success
24,sac,circle,old,96,1,success
25,sac,circle,old,96,1,success
26,sac,circle,old,96,1,success
27,sac,circle,old,96,1,success
28,sac,circle,old,96,1,success
29,sac,circle,old,96,1,success
30,sac,circle,old,96,1,success
31,sac,circle,old,96,1,success
32,sac,circle,old,96,1,success
33,sac,circle,old,97,1,success
34,sac,circle,old,96,1,success
35,sac,circle,old,96,1,success
36,sac,circle,old,96,1,success
37,sac,circle,old,96,1,success
38,sac,circle,old,96,1,success
39,sac,circle,old,96,1,success
40,sac,circle,old,96,1,success
41,sac,circle,old,95,1,success
42,sac,circle,old,96,1,success
43,sac,circle,old,96,1,success
44,sac,circle,old,96,1,success
45,sac,circle,old,96,1,success
46,sac,circle,old,95,1,success
47,sac,circle,old,96,1,success
48,sac,circle,old,95,1,success
49,sac,circle,old,96,1,success
50,sac,circle,old,96,1,success
51,sac,circle,old,96,1,success
52,sac,circle,old,96,1,success
53,sac,circle,old,96,1,success
54,sac,circle,old,96,1,success
55,sac,circle,old,96,1,success
56,sac,circle,old,96,1,success
57,sac,circle,old,97,1,success
58,sac,circle,old,96,1,success
59,sac,circle,old,96,1,success
60,sac,circle,old,96,1,success
61,sac,circle,old,96,1,success
62,sac,circle,old,96,1,success
63,sac,circle,old,96,1,success
64,sac,circle,old,96,1,success
65,sac,circle,old,96,1,success
66,sac,circle,old,95,1,success
67,sac,circle,old,96,1,success
68,sac,circle,old,96,1,success
69,sac,circle,old,96,1,success
70,sac,circle,old,96,1,success
71,sac,circle,old,96,1,success
72,sac,circle,old,96,1,success
73,sac,circle,old,96,1,success
74,sac,circle,old,96,1,success
75,sac,circle,old,96,1,success
76,sac,circle,old,96,1,success
77,sac,circle,old,96,1,success
78,sac,circle,old,96,1,success
79,sac,circle,old,96,1,success
80,sac,circle,old,96,1,success
81,sac,circle,old,96,1,success
82,sac,circle,old,97,1,success
83,sac,circle,old,96,1,success
84,sac,circle,old,95,1,success
85,sac,circle,old,96,1,success
86,sac,circle,old,96,1,success
87,sac,circle,old,96,1,success
88,sac,circle,old,96,1,success
89,sac,circle,old,96,1,success
90,sac,circle,old,97,1,success
91,sac,circle,old,96,1,success
92,sac,circle,old,96,1,success
93,sac,circle,old,96,1,success
94,sac,circle,old,96,1,success
95,sac,circle,old,96,1,success
96,sac,circle,old,96,1,success
97,sac,circle,old,96,1,success
98,sac,circle,old,96,1,success
99,sac,circle,old,96,1,success
100,sac,circle,old,96,1,success
